[1650, 1275]
[section-title, [259.0, 144.0, 516.0, 49.5], GnwU05BCKM, 6469254]
[paragraph, [159.0, 270.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 306.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 342.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 378.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 414.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 450.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 486.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 522.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 558.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 594.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 630.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 666.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[paragraph, [159.0, 702.0, 347.0, 36.0], bOMgyfpzST, 6469254]
[folio, [127.0, 1484.0, 210.0, 36.0], shoonya_2sYQT6QZN9210F, 6469254]
