[1425, 1088]
[section-title, [129.0, 125.0, 192.0, 30.0], shoonya_2sRJ4VDIVS2I3M, 5759143]
[paragraph, [128.0, 181.0, 783.0, 18.0], WO_FfIs3cj, 5759143]
[paragraph, [128.0, 199.0, 783.0, 18.0], WO_FfIs3cj, 5759143]
[paragraph, [128.0, 217.0, 783.0, 18.0], WO_FfIs3cj, 5759143]
[paragraph, [128.0, 235.0, 783.0, 18.0], WO_FfIs3cj, 5759143]
[paragraph, [128.0, 253.0, 783.0, 18.0], WO_FfIs3cj, 5759143]
[paragraph, [126.0, 284.0, 784.0, 18.0], Sv1_w00TUL, 5759143]
[paragraph, [126.0, 302.0, 784.0, 18.0], Sv1_w00TUL, 5759143]
[paragraph, [126.0, 320.0, 784.0, 18.0], Sv1_w00TUL, 5759143]
[paragraph, [126.0, 338.0, 784.0, 18.0], Sv1_w00TUL, 5759143]
[paragraph, [128.0, 361.0, 784.0, 18.0], CBJXUhgBTz, 5759143]
[paragraph, [128.0, 379.0, 784.0, 18.0], CBJXUhgBTz, 5759143]
[paragraph, [128.0, 397.0, 784.0, 18.0], CBJXUhgBTz, 5759143]
[paragraph, [128.0, 415.0, 784.0, 18.0], CBJXUhgBTz, 5759143]
[paragraph, [129.0, 431.0, 783.0, 18.0], 3BCxm-gNai, 5759143]
[paragraph, [129.0, 449.0, 783.0, 18.0], 3BCxm-gNai, 5759143]
[paragraph, [129.0, 467.0, 783.0, 18.0], 3BCxm-gNai, 5759143]
[paragraph, [129.0, 485.0, 783.0, 18.0], 3BCxm-gNai, 5759143]
[paragraph, [129.0, 503.0, 783.0, 18.0], 3BCxm-gNai, 5759143]
[paragraph, [130.0, 529.0, 783.0, 18.0], shoonya_0sYX0XAULYVM5I, 5759143]
[paragraph, [130.0, 547.0, 783.0, 18.0], shoonya_0sYX0XAULYVM5I, 5759143]
[paragraph, [130.0, 565.0, 783.0, 18.0], shoonya_0sYX0XAULYVM5I, 5759143]
[paragraph, [130.0, 583.0, 783.0, 18.0], shoonya_0sYX0XAULYVM5I, 5759143]
[paragraph, [130.0, 601.0, 783.0, 18.0], shoonya_0sYX0XAULYVM5I, 5759143]
[paragraph, [130.0, 619.0, 783.0, 18.0], shoonya_0sYX0XAULYVM5I, 5759143]
[paragraph, [130.0, 637.0, 783.0, 18.0], shoonya_0sYX0XAULYVM5I, 5759143]
[section-title, [112.0, 757.0, 195.0, 30.0], KcwCnqv_Al, 5759143]
[ordered-list, [108.0, 806.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 824.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 842.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 860.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 878.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 896.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 914.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 932.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 950.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 968.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 986.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1004.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1022.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1040.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1058.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1076.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1094.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1112.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1130.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1148.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1166.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1184.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1202.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1220.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[ordered-list, [108.0, 1238.0, 833.0, 18.0], shoonya_3sIP9I6IEOR5CO, 5759143]
[folio, [94.0, 1341.0, 170.0, 18.0], zjarn9s27_, 5759143]
