[1818, 1374]
[folio, [626.0, 181.0, 118.0, 36.0], eF-LjBO_Lx, 5682711]
[paragraph, [110.0, 243.0, 560.0, 36.0], shoonya_2s2D194QGTTUOC, 5682711]
[paragraph, [110.0, 279.0, 560.0, 36.0], shoonya_2s2D194QGTTUOC, 5682711]
[paragraph, [110.0, 315.0, 560.0, 36.0], shoonya_2s2D194QGTTUOC, 5682711]
[paragraph, [693.0, 248.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 284.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 320.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 356.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 392.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 428.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 464.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 500.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 536.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 572.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 608.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [693.0, 644.0, 569.0, 36.0], shoonya_3sIP46ZBIYTM45, 5682711]
[paragraph, [108.0, 370.0, 560.0, 36.0], 8uz2XkvyMo, 5682711]
[paragraph, [108.0, 406.0, 560.0, 36.0], 8uz2XkvyMo, 5682711]
[paragraph, [108.0, 442.0, 560.0, 36.0], 8uz2XkvyMo, 5682711]
[paragraph, [108.0, 478.0, 560.0, 36.0], 8uz2XkvyMo, 5682711]
[paragraph, [108.0, 514.0, 560.0, 36.0], 8uz2XkvyMo, 5682711]
[paragraph, [108.0, 550.0, 560.0, 36.0], 8uz2XkvyMo, 5682711]
[paragraph, [108.0, 586.0, 560.0, 36.0], 8uz2XkvyMo, 5682711]
[paragraph, [109.0, 658.0, 561.0, 36.0], shoonya_5s1ZIR0PIISQ24, 5682711]
[paragraph, [109.0, 694.0, 561.0, 36.0], shoonya_5s1ZIR0PIISQ24, 5682711]
[paragraph, [109.0, 730.0, 561.0, 36.0], shoonya_5s1ZIR0PIISQ24, 5682711]
[paragraph, [693.0, 700.0, 566.0, 36.0], N_0k5v9tGg, 5682711]
[paragraph, [693.0, 736.0, 566.0, 36.0], N_0k5v9tGg, 5682711]
[paragraph, [108.0, 781.0, 563.0, 36.0], 1hN7RjNxqT, 5682711]
[paragraph, [108.0, 817.0, 563.0, 36.0], 1hN7RjNxqT, 5682711]
[paragraph, [108.0, 853.0, 563.0, 36.0], 1hN7RjNxqT, 5682711]
