[1320, 1176]
[folio, [76.0, 51.0, 986.0, 18.0], Qww5mlhjK-, 5694207]
[folio, [76.0, 69.0, 986.0, 18.0], Qww5mlhjK-, 5694207]
[folio, [76.0, 87.0, 986.0, 18.0], Qww5mlhjK-, 5694207]
[folio, [76.0, 105.0, 986.0, 18.0], Qww5mlhjK-, 5694207]
[folio, [76.0, 123.0, 986.0, 18.0], Qww5mlhjK-, 5694207]
[folio, [76.0, 141.0, 986.0, 18.0], Qww5mlhjK-, 5694207]
[folio, [79.0, 58.0, 151.0, 18.0], shoonya_0s50Q1N5EVHZA8, 5694207]
[folio, [79.0, 76.0, 151.0, 18.0], shoonya_0s50Q1N5EVHZA8, 5694207]
[folio, [79.0, 94.0, 151.0, 18.0], shoonya_0s50Q1N5EVHZA8, 5694207]
[folio, [79.0, 112.0, 151.0, 18.0], shoonya_0s50Q1N5EVHZA8, 5694207]
[folio, [79.0, 130.0, 151.0, 18.0], shoonya_0s50Q1N5EVHZA8, 5694207]
[paragraph, [83.0, 177.0, 325.0, 18.0], uBq65b2haE, 5694207]
[paragraph, [83.0, 195.0, 325.0, 18.0], uBq65b2haE, 5694207]
[paragraph, [83.0, 213.0, 325.0, 18.0], uBq65b2haE, 5694207]
[paragraph, [83.0, 231.0, 325.0, 18.0], uBq65b2haE, 5694207]
[chapter-title, [634.0, 261.0, 227.0, 30.0], XbNXOCENSL, 5694207]
[paragraph, [85.0, 267.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 285.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 303.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 321.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 339.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 357.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 375.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 393.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 411.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 429.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 447.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[paragraph, [85.0, 465.0, 320.0, 18.0], koXdXdPQt6, 5694207]
[author, [663.0, 308.0, 155.0, 18.0], _bnlPKc7uK, 5694207]
[folio, [419.0, 419.0, 64.0, 18.0], LKzbO4NcyF, 5694207]
[paragraph, [764.0, 422.0, 317.0, 18.0], 238QIPt7nl, 5694207]
[paragraph, [764.0, 440.0, 317.0, 18.0], 238QIPt7nl, 5694207]
[paragraph, [764.0, 458.0, 317.0, 18.0], 238QIPt7nl, 5694207]
[paragraph, [425.0, 453.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 471.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 489.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 507.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 525.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 543.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 561.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 579.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 597.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 615.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 633.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 651.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 669.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 687.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [425.0, 705.0, 317.0, 18.0], dI3v5CYWWF, 5694207]
[paragraph, [82.0, 496.0, 317.0, 18.0], ASNajEEAln, 5694207]
[paragraph, [82.0, 514.0, 317.0, 18.0], ASNajEEAln, 5694207]
[paragraph, [82.0, 532.0, 317.0, 18.0], ASNajEEAln, 5694207]
[paragraph, [82.0, 550.0, 317.0, 18.0], ASNajEEAln, 5694207]
[paragraph, [82.0, 568.0, 317.0, 18.0], ASNajEEAln, 5694207]
[paragraph, [766.0, 503.0, 314.0, 18.0], zMZn5LJH0o, 5694207]
[paragraph, [766.0, 521.0, 314.0, 18.0], zMZn5LJH0o, 5694207]
[paragraph, [766.0, 539.0, 314.0, 18.0], zMZn5LJH0o, 5694207]
[paragraph, [766.0, 557.0, 314.0, 18.0], zMZn5LJH0o, 5694207]
[paragraph, [766.0, 575.0, 314.0, 18.0], zMZn5LJH0o, 5694207]
