[842, 596]
[folio, [47.0, 24.0, 103.0, 18.0], NVRQ--O9fo, 6464022]
[website-link, [398.0, 26.0, 138.0, 18.0], uwBiX39yjO, 6464022]
[ordered-list, [44.0, 67.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 85.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 103.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 121.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 139.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 157.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 175.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 193.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 211.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 229.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 247.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 265.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [44.0, 283.0, 320.0, 18.0], JyETFwvlY9, 6464022]
[ordered-list, [46.0, 307.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 325.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 343.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 361.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 379.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 397.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 415.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 433.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 451.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 469.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 487.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 505.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 523.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 541.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 559.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 577.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 595.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 613.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 631.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 649.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 667.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 685.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 703.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 721.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
[ordered-list, [46.0, 739.0, 321.0, 18.0], shoonya_0s13WE5ZA8IFIW, 6464022]
