[1650, 1275]
[folio, [131.0, 22.0, 494.0, 36.0], shoonya_0s2OQEQ687CI9A, 5775135]
[ordered-list, [103.0, 107.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 143.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 179.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 215.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 251.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 287.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 323.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 359.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 395.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 431.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 467.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 503.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 539.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 575.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 611.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 647.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 683.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 719.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 755.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 791.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 827.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 863.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 899.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 935.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 971.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1007.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1043.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1079.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1115.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1151.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1187.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1223.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1259.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1295.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1331.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1367.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1403.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1439.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1475.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1511.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1547.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[ordered-list, [103.0, 1583.0, 1085.0, 36.0], ugHeD_cfMv, 5775135]
[sub-ordered-list, [153.0, 175.0, 1034.0, 36.0], 0OO_lIeY77, 5775135]
[sub-ordered-list, [153.0, 211.0, 1034.0, 36.0], 0OO_lIeY77, 5775135]
[sub-ordered-list, [153.0, 247.0, 1034.0, 36.0], 0OO_lIeY77, 5775135]
[sub-ordered-list, [153.0, 283.0, 1034.0, 36.0], 0OO_lIeY77, 5775135]
[sub-ordered-list, [165.0, 406.0, 1019.0, 36.0], XKqVOToVMJ, 5775135]
[sub-ordered-list, [165.0, 442.0, 1019.0, 36.0], XKqVOToVMJ, 5775135]
[sub-ordered-list, [165.0, 478.0, 1019.0, 36.0], XKqVOToVMJ, 5775135]
[sub-ordered-list, [165.0, 514.0, 1019.0, 36.0], XKqVOToVMJ, 5775135]
[sub-ordered-list, [165.0, 550.0, 1019.0, 36.0], XKqVOToVMJ, 5775135]
[sub-ordered-list, [165.0, 586.0, 1019.0, 36.0], XKqVOToVMJ, 5775135]
[sub-ordered-list, [165.0, 813.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 849.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 885.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 921.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 957.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 993.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 1029.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 1065.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
[sub-ordered-list, [165.0, 1101.0, 1021.0, 36.0], yMqngDOkhn, 5775135]
