[2000, 1414]
[section-title, [35.0, 1.0, 968.0, 52.5], wS3PLaEo-z, 6491544]
[section-title, [35.0, 53.5, 968.0, 52.5], wS3PLaEo-z, 6491544]
[section-title, [35.0, 106.0, 968.0, 52.5], wS3PLaEo-z, 6491544]
[headline, [76.0, 213.0, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 280.5, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 348.0, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 415.5, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 483.0, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 550.5, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 618.0, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 685.5, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 753.0, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 820.5, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[headline, [76.0, 888.0, 1297.0, 67.5], Tqatf-0A0G, 6491544]
[sidebar, [694.0, 1018.0, 671.0, 36.0], zx8w4lQ1hM, 6491544]
[sidebar, [694.0, 1054.0, 671.0, 36.0], zx8w4lQ1hM, 6491544]
[sidebar, [694.0, 1090.0, 671.0, 36.0], zx8w4lQ1hM, 6491544]
[author, [76.0, 1034.0, 136.0, 36.0], O1uyvErPQb, 6491544]
[paragraph, [701.0, 1361.0, 593.0, 36.0], fXecRta4Ll, 6491544]
[paragraph, [701.0, 1397.0, 593.0, 36.0], fXecRta4Ll, 6491544]
[paragraph, [701.0, 1433.0, 593.0, 36.0], fXecRta4Ll, 6491544]
[paragraph, [32.0, 1371.0, 642.0, 36.0], shoonya_0s8JUXG8IZ2Q5V, 6491544]
[paragraph, [32.0, 1407.0, 642.0, 36.0], shoonya_0s8JUXG8IZ2Q5V, 6491544]
[paragraph, [32.0, 1443.0, 642.0, 36.0], shoonya_0s8JUXG8IZ2Q5V, 6491544]
[paragraph, [705.0, 1503.0, 576.0, 36.0], L5Pe39hOzp, 6491544]
[paragraph, [705.0, 1539.0, 576.0, 36.0], L5Pe39hOzp, 6491544]
[paragraph, [705.0, 1575.0, 576.0, 36.0], L5Pe39hOzp, 6491544]
[paragraph, [49.0, 1584.0, 620.0, 36.0], aIH-Qc8aCI, 6491544]
[paragraph, [49.0, 1620.0, 620.0, 36.0], aIH-Qc8aCI, 6491544]
[paragraph, [49.0, 1656.0, 620.0, 36.0], aIH-Qc8aCI, 6491544]
[paragraph, [49.0, 1692.0, 620.0, 36.0], aIH-Qc8aCI, 6491544]
[paragraph, [49.0, 1728.0, 620.0, 36.0], aIH-Qc8aCI, 6491544]
[paragraph, [49.0, 1764.0, 620.0, 36.0], aIH-Qc8aCI, 6491544]
[paragraph, [49.0, 1800.0, 620.0, 36.0], aIH-Qc8aCI, 6491544]
[paragraph, [684.0, 1632.0, 608.0, 36.0], N0CvrvFBKy, 6491544]
[paragraph, [684.0, 1668.0, 608.0, 36.0], N0CvrvFBKy, 6491544]
[paragraph, [684.0, 1704.0, 608.0, 36.0], N0CvrvFBKy, 6491544]
[paragraph, [707.0, 1784.0, 390.0, 36.0], ei2eUCRwgo, 6491544]
