[2339, 1653]
[paragraph, [236.0, 207.0, 1176.0, 36.0], shoonya_4sAUIREAPUDTHS, 5686374]
[paragraph, [236.0, 243.0, 1176.0, 36.0], shoonya_4sAUIREAPUDTHS, 5686374]
[paragraph, [236.0, 279.0, 1176.0, 36.0], shoonya_4sAUIREAPUDTHS, 5686374]
[paragraph, [235.0, 356.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 392.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 428.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 464.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 500.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 536.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 572.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 608.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 644.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 680.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 716.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 752.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 788.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 824.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 860.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 896.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 932.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 968.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 1004.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [235.0, 1040.0, 1180.0, 36.0], shoonya_0sWPWVXFMCBGHN, 5686374]
[paragraph, [234.0, 1114.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1150.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1186.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1222.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1258.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1294.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1330.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1366.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1402.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1438.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1474.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1510.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1546.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [234.0, 1582.0, 1178.0, 36.0], shoonya_2sWQ0F7K6KW4PV, 5686374]
[paragraph, [237.0, 1639.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1675.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1711.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1747.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1783.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1819.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1855.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1891.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1927.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1963.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 1999.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
[paragraph, [237.0, 2035.0, 1175.0, 36.0], shoonya_1sF5PXCGIAHWIG, 5686374]
