[792, 612]
[folio, [79.0, 41.0, 116.0, 18.0], shoonya_0s6I6DQ5UYY7HX, 6491047]
[paragraph, [34.0, 70.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 88.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 106.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 124.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 142.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 160.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 178.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 196.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 214.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 232.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 250.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 268.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 286.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 304.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 322.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 340.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [34.0, 358.0, 269.0, 18.0], PPNBXhLq8u, 6491047]
[paragraph, [306.0, 72.0, 265.0, 18.0], dP4m7i_al3, 6491047]
[paragraph, [306.0, 90.0, 265.0, 18.0], dP4m7i_al3, 6491047]
[paragraph, [306.0, 108.0, 265.0, 18.0], dP4m7i_al3, 6491047]
[paragraph, [306.0, 126.0, 265.0, 18.0], dP4m7i_al3, 6491047]
[paragraph, [306.0, 144.0, 265.0, 18.0], dP4m7i_al3, 6491047]
[paragraph, [306.0, 162.0, 265.0, 18.0], dP4m7i_al3, 6491047]
[paragraph, [306.0, 191.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 209.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 227.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 245.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 263.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 281.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 299.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 317.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 335.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 353.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 371.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 389.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 407.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 425.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 443.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 461.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 479.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 497.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 515.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 533.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [306.0, 551.0, 268.0, 18.0], ED5tWj981t, 6491047]
[paragraph, [33.0, 383.0, 269.0, 18.0], 3Y4JfmFZau, 6491047]
[paragraph, [33.0, 401.0, 269.0, 18.0], 3Y4JfmFZau, 6491047]
