[3300, 2550]
[paragraph, [267.0, 277.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 329.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 382.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 434.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 487.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 539.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 592.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 644.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 697.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 749.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 802.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 854.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 907.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 959.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1012.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1064.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1117.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1169.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1222.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1274.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1327.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1379.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1432.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1484.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1537.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1589.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1642.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1694.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1747.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1799.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1852.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1904.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 1957.0, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [267.0, 2009.5, 2020.0, 52.5], mPmVFC5AUt, 5720566]
[paragraph, [283.0, 2110.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2162.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2215.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2267.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2320.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2372.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2425.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2477.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2530.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2582.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2635.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2687.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2740.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2792.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2845.0, 2011.0, 52.5], fmb12hCgN7, 5720566]
[paragraph, [283.0, 2897.5, 2011.0, 52.5], fmb12hCgN7, 5720566]
