[1650, 1275]
[paragraph, [274.0, 127.0, 814.0, 36.0], shoonya_0sEHC9Q2O7C5YR, 5714862]
[paragraph, [274.0, 163.0, 814.0, 36.0], shoonya_0sEHC9Q2O7C5YR, 5714862]
[paragraph, [275.0, 221.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 257.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 293.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 329.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 365.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 401.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 437.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 473.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 509.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 545.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 581.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 617.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 653.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 689.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 725.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 761.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 797.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 833.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 869.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [275.0, 905.0, 816.0, 36.0], aDGV8H4VWR, 5714862]
[paragraph, [269.0, 972.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1008.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1044.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1080.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1116.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1152.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1188.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1224.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1260.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1296.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1332.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1368.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1404.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
[paragraph, [269.0, 1440.0, 825.0, 36.0], vGzcSF17Ay, 5714862]
