[675, 442]
[folio, [163.0, 60.0, 92.0, 18.0], jiiqI5gKos, 6464809]
[paragraph, [46.0, 98.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 116.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 134.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 152.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 170.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 188.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 206.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 224.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 242.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 260.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 278.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 296.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 314.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 332.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 350.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 368.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 386.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 404.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 422.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 440.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 458.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 476.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 494.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 512.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 530.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 548.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[paragraph, [46.0, 566.0, 329.0, 18.0], shoonya_0sR7LOSRJ2W7ZI, 6464809]
[footnote, [85.0, 644.0, 264.0, 18.0], MVPNt0u5BG, 6464809]
