[1210, 711]
[paragraph, [44.0, 104.0, 649.0, 18.0], shoonya_2sMDPSXF82R6HK, 5719470]
[paragraph, [44.0, 122.0, 649.0, 18.0], shoonya_2sMDPSXF82R6HK, 5719470]
[paragraph, [44.0, 140.0, 649.0, 18.0], shoonya_2sMDPSXF82R6HK, 5719470]
[paragraph, [44.0, 158.0, 649.0, 18.0], shoonya_2sMDPSXF82R6HK, 5719470]
[paragraph, [44.0, 176.0, 649.0, 18.0], shoonya_2sMDPSXF82R6HK, 5719470]
[paragraph, [44.0, 194.0, 649.0, 18.0], shoonya_2sMDPSXF82R6HK, 5719470]
[paragraph, [44.0, 212.0, 649.0, 18.0], shoonya_2sMDPSXF82R6HK, 5719470]
[ordered-list, [40.0, 246.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 264.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 282.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 300.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 318.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 336.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 354.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 372.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 390.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 408.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 426.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 444.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 462.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 480.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 498.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 516.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 534.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 552.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 570.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 588.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 606.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 624.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 642.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 660.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 678.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 696.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 714.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 732.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 750.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 768.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 786.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 804.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 822.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[ordered-list, [40.0, 840.0, 654.0, 18.0], shoonya_3sC9RD8RH3E2UY, 5719470]
[paragraph, [41.0, 874.0, 647.0, 18.0], 3w88q2UsGv, 5719470]
[paragraph, [41.0, 892.0, 647.0, 18.0], 3w88q2UsGv, 5719470]
[paragraph, [41.0, 910.0, 647.0, 18.0], 3w88q2UsGv, 5719470]
[paragraph, [41.0, 928.0, 647.0, 18.0], 3w88q2UsGv, 5719470]
[paragraph, [53.0, 967.0, 641.0, 18.0], shoonya_5sXPNWA3U1UJ6X, 5719470]
[paragraph, [53.0, 985.0, 641.0, 18.0], shoonya_5sXPNWA3U1UJ6X, 5719470]
[paragraph, [53.0, 1003.0, 641.0, 18.0], shoonya_5sXPNWA3U1UJ6X, 5719470]
[paragraph, [53.0, 1021.0, 641.0, 18.0], shoonya_5sXPNWA3U1UJ6X, 5719470]
[paragraph, [53.0, 1039.0, 641.0, 18.0], shoonya_5sXPNWA3U1UJ6X, 5719470]
[paragraph, [53.0, 1057.0, 641.0, 18.0], shoonya_5sXPNWA3U1UJ6X, 5719470]
[paragraph, [53.0, 1075.0, 641.0, 18.0], shoonya_5sXPNWA3U1UJ6X, 5719470]
[folio, [346.0, 1168.0, 363.0, 18.0], 0SeLSclSFW, 5719470]
[folio, [346.0, 1186.0, 363.0, 18.0], 0SeLSclSFW, 5719470]
