[2084, 1289]
[paragraph, [129.0, 265.0, 1023.0, 36.0], shoonya_5sPOY2JSMJ7Y09, 5660748]
[paragraph, [129.0, 301.0, 1023.0, 36.0], shoonya_5sPOY2JSMJ7Y09, 5660748]
[paragraph, [129.0, 337.0, 1023.0, 36.0], shoonya_5sPOY2JSMJ7Y09, 5660748]
[paragraph, [129.0, 373.0, 1023.0, 36.0], shoonya_5sPOY2JSMJ7Y09, 5660748]
[section-title, [522.0, 455.0, 254.0, 52.5], shoonya_4s7XXAXTVMQOA3, 5660748]
[paragraph, [128.0, 541.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 577.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 613.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 649.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 685.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 721.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 757.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 793.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 829.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 865.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 901.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 937.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [128.0, 973.0, 1030.0, 36.0], shoonya_0s9HK1UDR5G4YW, 5660748]
[paragraph, [132.0, 1036.0, 1040.0, 36.0], shoonya_1s6QRRK312ZWGS, 5660748]
[paragraph, [132.0, 1072.0, 1040.0, 36.0], shoonya_1s6QRRK312ZWGS, 5660748]
[paragraph, [132.0, 1108.0, 1040.0, 36.0], shoonya_1s6QRRK312ZWGS, 5660748]
[paragraph, [132.0, 1144.0, 1040.0, 36.0], shoonya_1s6QRRK312ZWGS, 5660748]
[paragraph, [132.0, 1180.0, 1040.0, 36.0], shoonya_1s6QRRK312ZWGS, 5660748]
[paragraph, [132.0, 1216.0, 1040.0, 36.0], shoonya_1s6QRRK312ZWGS, 5660748]
[paragraph, [132.0, 1252.0, 1040.0, 36.0], shoonya_1s6QRRK312ZWGS, 5660748]
[paragraph, [110.0, 1293.0, 1072.0, 36.0], shoonya_3sIZ6RV8BSHC3R, 5660748]
[paragraph, [110.0, 1329.0, 1072.0, 36.0], shoonya_3sIZ6RV8BSHC3R, 5660748]
[paragraph, [110.0, 1365.0, 1072.0, 36.0], shoonya_3sIZ6RV8BSHC3R, 5660748]
[paragraph, [113.0, 1396.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1432.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1468.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1504.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1540.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1576.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1612.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1648.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1684.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1720.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1756.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1792.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[paragraph, [113.0, 1828.0, 1046.0, 36.0], shoonya_2sWOD828XZRCVM, 5660748]
[folio, [640.0, 1939.0, 648.0, 36.0], shoonya_6sS1TEE73RUJ6T, 5660748]
