[1447, 1063]
[folio, [418.0, 55.0, 195.0, 18.0], rmrDkmDNWk, 5762722]
[section-title, [95.0, 107.0, 854.0, 30.0], shoonya_0s9SCOA4TYESZ7, 5762722]
[section-title, [95.0, 137.0, 854.0, 30.0], shoonya_0s9SCOA4TYESZ7, 5762722]
[section-title, [95.0, 167.0, 854.0, 30.0], shoonya_0s9SCOA4TYESZ7, 5762722]
[section-title, [95.0, 197.0, 854.0, 30.0], shoonya_0s9SCOA4TYESZ7, 5762722]
[paragraph, [94.0, 242.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 260.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 278.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 296.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 314.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 332.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 350.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 368.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 386.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [94.0, 404.0, 428.0, 18.0], yW489KFERA, 5762722]
[paragraph, [536.0, 250.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 268.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 286.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 304.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 322.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 340.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 358.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 376.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 394.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 412.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 430.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 448.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 466.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 484.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 502.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 520.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 538.0, 427.0, 18.0], WrUrNor2XC, 5762722]
[paragraph, [536.0, 556.0, 427.0, 18.0], WrUrNor2XC, 5762722]
