[2200, 1700]
[paragraph, [264.0, 66.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 102.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 138.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 174.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 210.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 246.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 282.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 318.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 354.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 390.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 426.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 462.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 498.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 534.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 570.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 606.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 642.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 678.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 714.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [264.0, 750.0, 1113.0, 36.0], shoonya_0sHXQ9EXR0FVDA, 5731192]
[paragraph, [257.0, 816.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 852.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 888.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 924.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 960.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 996.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1032.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1068.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1104.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1140.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1176.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1212.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1248.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1284.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1320.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1356.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1392.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1428.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1464.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1500.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1536.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1572.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1608.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1644.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1680.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1716.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1752.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1788.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1824.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1860.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[paragraph, [257.0, 1896.0, 1112.0, 36.0], shoonya_1sTMUIX0A6BFF5, 5731192]
[folio, [271.0, 2023.0, 348.0, 36.0], stVbDzd6zg, 5731192]
