[1320, 1176]
[folio, [78.0, 45.0, 189.0, 18.0], TdM6PG_AWB, 5694237]
[folio, [78.0, 63.0, 189.0, 18.0], TdM6PG_AWB, 5694237]
[folio, [78.0, 81.0, 189.0, 18.0], TdM6PG_AWB, 5694237]
[folio, [78.0, 99.0, 189.0, 18.0], TdM6PG_AWB, 5694237]
[folio, [78.0, 117.0, 189.0, 18.0], TdM6PG_AWB, 5694237]
[folio, [78.0, 135.0, 189.0, 18.0], TdM6PG_AWB, 5694237]
[paragraph, [610.0, 182.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 200.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 218.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 236.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 254.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 272.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 290.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 308.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 326.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 344.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 362.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 380.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 398.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [610.0, 416.0, 469.0, 18.0], shoonya_4sKU13JIOCJ8BJ, 5694237]
[paragraph, [82.0, 183.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 201.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 219.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 237.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 255.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 273.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 291.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 309.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 327.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 345.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 363.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 381.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 399.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 417.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 435.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 453.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 471.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 489.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 507.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 525.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 543.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 561.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 579.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 597.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 615.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 633.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [82.0, 651.0, 473.0, 18.0], shoonya_1sWWAV6KHKFQ6I, 5694237]
[paragraph, [612.0, 438.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 456.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 474.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 492.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 510.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 528.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 546.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 564.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 582.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 600.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 618.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 636.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 654.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 672.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [612.0, 690.0, 469.0, 18.0], shoonya_2s91I9G7QYZMXW, 5694237]
[paragraph, [84.0, 685.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
[paragraph, [84.0, 703.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
[paragraph, [84.0, 721.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
[paragraph, [84.0, 739.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
[paragraph, [84.0, 757.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
[paragraph, [84.0, 775.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
[paragraph, [84.0, 793.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
[paragraph, [84.0, 811.0, 472.0, 18.0], shoonya_5sMNLYW5AA34H4, 5694237]
