[1034, 680]
[folio, [204.0, 66.0, 303.0, 18.0], uORN0GrA3e, 5739887]
[folio, [204.0, 84.0, 303.0, 18.0], uORN0GrA3e, 5739887]
[paragraph, [54.0, 122.0, 569.0, 18.0], wzLsn5y_3g, 5739887]
[paragraph, [54.0, 140.0, 569.0, 18.0], wzLsn5y_3g, 5739887]
[paragraph, [54.0, 158.0, 569.0, 18.0], wzLsn5y_3g, 5739887]
[paragraph, [54.0, 176.0, 569.0, 18.0], wzLsn5y_3g, 5739887]
[paragraph, [54.0, 194.0, 569.0, 18.0], wzLsn5y_3g, 5739887]
[paragraph, [54.0, 212.0, 569.0, 18.0], wzLsn5y_3g, 5739887]
[section-title, [60.0, 248.0, 332.0, 30.0], axz4JKSWNc, 5739887]
[paragraph, [63.0, 304.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 322.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 340.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 358.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 376.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 394.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 412.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 430.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 448.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 466.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 484.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 502.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 520.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 538.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 556.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 574.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 592.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 610.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 628.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 646.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 664.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 682.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 700.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 718.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 736.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 754.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 772.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 790.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 808.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 826.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [63.0, 844.0, 569.0, 18.0], JAlYZKKBnn, 5739887]
[paragraph, [59.0, 863.0, 555.0, 18.0], s-MZeu4bOO, 5739887]
[paragraph, [59.0, 881.0, 555.0, 18.0], s-MZeu4bOO, 5739887]
[paragraph, [59.0, 899.0, 555.0, 18.0], s-MZeu4bOO, 5739887]
[paragraph, [59.0, 917.0, 555.0, 18.0], s-MZeu4bOO, 5739887]
[paragraph, [59.0, 935.0, 555.0, 18.0], s-MZeu4bOO, 5739887]
