[789, 571]
[folio, [228.0, 69.0, 132.0, 18.0], shoonya_6s0ID8L0LT3O75, 5702343]
[paragraph, [59.0, 110.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 128.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 146.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 164.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 182.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 200.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 218.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 236.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 254.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 272.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 290.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [59.0, 308.0, 456.0, 18.0], shoonya_0sEEJJBN8A8DSF, 5702343]
[paragraph, [57.0, 341.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [57.0, 359.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [57.0, 377.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [57.0, 395.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [57.0, 413.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [57.0, 431.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [57.0, 449.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [57.0, 467.0, 461.0, 18.0], shoonya_2sKQRJT2MYVRDL, 5702343]
[paragraph, [55.0, 498.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 516.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 534.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 552.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 570.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 588.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 606.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 624.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 642.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 660.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 678.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 696.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 714.0, 462.0, 18.0], OuhytAGq4K, 5702343]
[paragraph, [55.0, 732.0, 462.0, 18.0], OuhytAGq4K, 5702343]
