[1650, 1275]
[paragraph, [389.0, 136.0, 299.0, 36.0], shoonya_0sS7I53OJWAKR2, 6471213]
[paragraph, [389.0, 172.0, 299.0, 36.0], shoonya_0sS7I53OJWAKR2, 6471213]
[paragraph, [389.0, 208.0, 299.0, 36.0], shoonya_0sS7I53OJWAKR2, 6471213]
[paragraph, [389.0, 244.0, 299.0, 36.0], shoonya_0sS7I53OJWAKR2, 6471213]
[paragraph, [389.0, 280.0, 299.0, 36.0], shoonya_0sS7I53OJWAKR2, 6471213]
[paragraph, [234.0, 408.0, 881.0, 36.0], 5Y0T_c9x97, 6471213]
[paragraph, [234.0, 444.0, 881.0, 36.0], 5Y0T_c9x97, 6471213]
[paragraph, [234.0, 480.0, 881.0, 36.0], 5Y0T_c9x97, 6471213]
[paragraph, [234.0, 516.0, 881.0, 36.0], 5Y0T_c9x97, 6471213]
[paragraph, [385.0, 572.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 608.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 644.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 680.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 716.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 752.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 788.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 824.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 860.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 896.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 932.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 968.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[paragraph, [385.0, 1004.0, 361.0, 36.0], aieg2Sjvaw, 6471213]
[reference, [606.0, 1060.0, 187.0, 36.0], mim_tfBcu5, 6471213]
[paragraph, [246.0, 1112.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
[paragraph, [246.0, 1148.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
[paragraph, [246.0, 1184.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
[paragraph, [246.0, 1220.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
[paragraph, [246.0, 1256.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
[paragraph, [246.0, 1292.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
[paragraph, [246.0, 1328.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
[paragraph, [246.0, 1364.0, 862.0, 36.0], wQ_FrmMQud, 6471213]
