[1387, 987]
[paragraph, [72.0, 87.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 105.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 123.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 141.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 159.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 177.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 195.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 213.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 231.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [72.0, 249.0, 820.0, 18.0], pmTvWCOs0A, 5651593]
[paragraph, [51.0, 277.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 295.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 313.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 331.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 349.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 367.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 385.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 403.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [51.0, 421.0, 852.0, 18.0], aknUwXPqnb, 5651593]
[paragraph, [49.0, 449.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 467.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 485.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 503.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 521.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 539.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 557.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 575.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 593.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [49.0, 611.0, 882.0, 18.0], shoonya_0s2C0SZ995MKSW, 5651593]
[paragraph, [43.0, 642.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 660.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 678.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 696.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 714.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 732.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 750.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 768.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 786.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 804.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 822.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 840.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 858.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 876.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 894.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 912.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 930.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 948.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [43.0, 966.0, 844.0, 18.0], q0A9wk0Q13, 5651593]
[paragraph, [66.0, 993.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1011.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1029.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1047.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1065.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1083.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1101.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1119.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1137.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1155.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1173.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1191.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1209.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1227.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1245.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1263.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
[paragraph, [66.0, 1281.0, 832.0, 18.0], shoonya_2sYO15JDVDGFA3, 5651593]
