[1447, 1063]
[folio, [408.0, 45.0, 239.0, 18.0], nqAeFk1XhW, 5762942]
[folio, [408.0, 63.0, 239.0, 18.0], nqAeFk1XhW, 5762942]
[section-title, [83.0, 94.0, 879.0, 30.0], shoonya_1sJ7ZMZD30F23C, 5762942]
[unordered-list, [533.0, 164.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 182.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 200.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 218.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 236.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 254.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 272.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 290.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 308.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 326.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 344.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 362.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 380.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 398.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 416.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 434.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 452.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 470.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 488.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 506.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 524.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 542.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 560.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 578.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 596.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 614.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 632.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 650.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 668.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 686.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
[unordered-list, [533.0, 704.0, 434.0, 18.0], wZgYSKs_Ft, 5762942]
