[1200, 825]
[paragraph, [139.0, 105.0, 546.0, 18.0], shoonya_0sHIQ1CC1AZU03, 5691311]
[paragraph, [139.0, 123.0, 546.0, 18.0], shoonya_0sHIQ1CC1AZU03, 5691311]
[paragraph, [139.0, 141.0, 546.0, 18.0], shoonya_0sHIQ1CC1AZU03, 5691311]
[paragraph, [139.0, 159.0, 546.0, 18.0], shoonya_0sHIQ1CC1AZU03, 5691311]
[paragraph, [139.0, 177.0, 546.0, 18.0], shoonya_0sHIQ1CC1AZU03, 5691311]
[paragraph, [139.0, 195.0, 546.0, 18.0], shoonya_0sHIQ1CC1AZU03, 5691311]
[paragraph, [139.0, 213.0, 546.0, 18.0], shoonya_0sHIQ1CC1AZU03, 5691311]
[paragraph, [140.0, 229.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 247.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 265.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 283.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 301.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 319.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 337.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 355.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 373.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 391.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 409.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 427.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 445.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 463.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 481.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 499.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 517.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 535.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 553.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [140.0, 571.0, 547.0, 18.0], -O1EQLPugW, 5691311]
[paragraph, [135.0, 596.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 614.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 632.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 650.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 668.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 686.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 704.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 722.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 740.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 758.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 776.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 794.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 812.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 830.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 848.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 866.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 884.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 902.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 920.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 938.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 956.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 974.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 992.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 1010.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 1028.0, 549.0, 18.0], AFImkF6475, 5691311]
[paragraph, [135.0, 1046.0, 549.0, 18.0], AFImkF6475, 5691311]
