[3508, 2481]
[ordered-list, [285.0, 113.0, 1607.0, 52.5], shoonya_5sN1G1ONAHGNMO, 6516444]
[paragraph, [220.0, 271.0, 2038.0, 52.5], shoonya_4sLXVBRB4U5NX9, 6516444]
[paragraph, [220.0, 323.5, 2038.0, 52.5], shoonya_4sLXVBRB4U5NX9, 6516444]
[paragraph, [220.0, 376.0, 2038.0, 52.5], shoonya_4sLXVBRB4U5NX9, 6516444]
[paragraph, [221.0, 578.0, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [221.0, 630.5, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [221.0, 683.0, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [221.0, 735.5, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [221.0, 788.0, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [221.0, 840.5, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [221.0, 893.0, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [221.0, 945.5, 2044.0, 52.5], shoonya_0sR8X8RXUOR0EV, 6516444]
[paragraph, [222.0, 1060.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1112.5, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1165.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1217.5, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1270.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1322.5, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1375.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1427.5, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1480.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1532.5, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1585.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1637.5, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1690.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1742.5, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[paragraph, [222.0, 1795.0, 2034.0, 52.5], shoonya_1s287B4DWG9OP1, 6516444]
[contact-info, [223.0, 1959.0, 401.0, 52.5], 3eBoHkdjTE, 6516444]
[contact-info, [223.0, 2011.5, 401.0, 52.5], 3eBoHkdjTE, 6516444]
