[792, 612]
[paragraph, [64.0, 70.0, 223.0, 18.0], Fbho-w2Sur, 5759951]
[paragraph, [65.0, 91.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 109.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 127.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 145.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 163.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 181.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 199.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 217.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 235.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 253.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 271.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [65.0, 289.0, 482.0, 18.0], shoonya_0s7A8D52L1KCJ5, 5759951]
[paragraph, [68.0, 323.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 341.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 359.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 377.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 395.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 413.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 431.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 449.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 467.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 485.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [68.0, 503.0, 478.0, 18.0], su42xrBr3X, 5759951]
[paragraph, [66.0, 523.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 541.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 559.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 577.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 595.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 613.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 631.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 649.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 667.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 685.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
[paragraph, [66.0, 703.0, 481.0, 18.0], gRi_9u7L_o, 5759951]
