[1518, 1075]
[paragraph, [83.0, 166.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 202.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 238.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 274.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 310.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 346.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 382.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 418.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 454.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 490.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 526.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [83.0, 562.0, 440.0, 36.0], shoonya_0sC6BB1JEL3DK0, 5722613]
[paragraph, [527.0, 167.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 203.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 239.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 275.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 311.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 347.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 383.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 419.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 455.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 491.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 527.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 563.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 599.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 635.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 671.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 707.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 743.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 779.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 815.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 851.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 887.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 923.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 959.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 995.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 1031.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[paragraph, [527.0, 1067.0, 439.0, 36.0], shoonya_3s9QAWFLBRMN4W, 5722613]
[sub-headline, [158.0, 630.0, 288.0, 36.0], shoonya_9sOF5HAM5RC22V, 5722613]
[paragraph, [80.0, 691.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 727.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 763.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 799.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 835.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 871.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 907.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 943.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 979.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1015.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1051.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1087.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1123.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1159.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1195.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1231.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1267.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [80.0, 1303.0, 444.0, 36.0], shoonya_1sOZDUKXEDHRK9, 5722613]
[paragraph, [527.0, 1117.0, 438.0, 36.0], shoonya_2sME7O4ICKEXXL, 5722613]
[paragraph, [527.0, 1153.0, 438.0, 36.0], shoonya_2sME7O4ICKEXXL, 5722613]
[paragraph, [527.0, 1189.0, 438.0, 36.0], shoonya_2sME7O4ICKEXXL, 5722613]
[paragraph, [527.0, 1225.0, 438.0, 36.0], shoonya_2sME7O4ICKEXXL, 5722613]
[paragraph, [527.0, 1261.0, 438.0, 36.0], shoonya_2sME7O4ICKEXXL, 5722613]
[paragraph, [527.0, 1297.0, 438.0, 36.0], shoonya_2sME7O4ICKEXXL, 5722613]
[folio, [227.0, 1331.0, 599.0, 36.0], fsLekIpWCx, 5722613]
[folio, [595.0, 1379.0, 281.0, 36.0], shoonya_7sCFF50B029F9B, 5722613]
