[1951, 1219]
[folio, [809.0, 123.0, 193.0, 36.0], 79zf_fLW-F, 5682249]
[paragraph, [132.0, 226.0, 959.0, 36.0], shoonya_0sSTQYKG2DRMVY, 5682249]
[paragraph, [132.0, 262.0, 959.0, 36.0], shoonya_0sSTQYKG2DRMVY, 5682249]
[paragraph, [132.0, 298.0, 959.0, 36.0], shoonya_0sSTQYKG2DRMVY, 5682249]
[paragraph, [123.0, 346.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 382.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 418.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 454.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 490.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 526.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 562.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 598.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 634.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [123.0, 670.0, 973.0, 36.0], nZUE4JTS6o, 5682249]
[paragraph, [117.0, 745.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 781.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 817.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 853.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 889.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 925.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 961.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 997.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 1033.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 1069.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 1105.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 1141.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 1177.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 1213.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [117.0, 1249.0, 976.0, 36.0], 2-J97BLFEM, 5682249]
[paragraph, [120.0, 1316.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1352.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1388.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1424.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1460.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1496.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1532.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1568.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1604.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1640.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1676.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1712.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1748.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
[paragraph, [120.0, 1784.0, 975.0, 36.0], RZYIEJvbLH, 5682249]
