[900, 630]
[folio, [75.0, 59.0, 119.0, 18.0], mHK6EpHFzv, 5744810]
[paragraph, [69.0, 167.0, 496.0, 18.0], shoonya_4sTED2YLX3477P, 5744810]
[paragraph, [69.0, 185.0, 496.0, 18.0], shoonya_4sTED2YLX3477P, 5744810]
[unordered-list, [67.0, 256.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 274.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 292.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 310.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 328.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 346.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 364.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 382.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 400.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 418.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 436.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 454.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 472.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 490.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 508.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 526.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 544.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 562.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 580.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 598.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 616.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
[unordered-list, [67.0, 634.0, 361.0, 18.0], shoonya_0sSYG9V7Z4S594, 5744810]
