[872, 605]
[section-title, [232.0, 56.0, 138.0, 30.0], shoonya_0sMTZYHAAFRMD9, 6456605]
[paragraph, [49.0, 120.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 138.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 156.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 174.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 192.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 210.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 228.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 246.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 264.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [49.0, 282.0, 512.0, 18.0], lRp-6h75c5, 6456605]
[paragraph, [46.0, 348.0, 513.0, 18.0], GhZJMEI8DQ, 6456605]
[paragraph, [46.0, 366.0, 513.0, 18.0], GhZJMEI8DQ, 6456605]
[paragraph, [39.0, 392.0, 525.0, 18.0], W4mXSm06Xz, 6456605]
[sidebar, [47.0, 417.0, 99.0, 18.0], Egi7iZC1Mv, 6456605]
[sidebar, [47.0, 435.0, 99.0, 18.0], Egi7iZC1Mv, 6456605]
[paragraph, [153.0, 417.0, 407.0, 18.0], WzlaSwRa1j, 6456605]
[paragraph, [153.0, 435.0, 407.0, 18.0], WzlaSwRa1j, 6456605]
[paragraph, [39.0, 454.0, 523.0, 18.0], qOsIuqrQN4, 6456605]
[paragraph, [47.0, 480.0, 516.0, 18.0], aauD7GEuJd, 6456605]
[paragraph, [153.0, 503.0, 406.0, 18.0], KhROLl3ATZ, 6456605]
[paragraph, [153.0, 521.0, 406.0, 18.0], KhROLl3ATZ, 6456605]
[paragraph, [153.0, 539.0, 406.0, 18.0], KhROLl3ATZ, 6456605]
[sidebar, [43.0, 511.0, 105.0, 18.0], CcnbBDsZjp, 6456605]
[sidebar, [43.0, 529.0, 105.0, 18.0], CcnbBDsZjp, 6456605]
[paragraph, [41.0, 566.0, 516.0, 18.0], Sy7opA9bx1, 6456605]
[paragraph, [162.0, 593.0, 400.0, 18.0], yWLTy3zC44, 6456605]
[paragraph, [162.0, 611.0, 400.0, 18.0], yWLTy3zC44, 6456605]
[sidebar, [40.0, 603.0, 114.0, 18.0], AFWwqtBu9Z, 6456605]
[paragraph, [54.0, 637.0, 507.0, 18.0], u7t8ZrHJAv, 6456605]
[paragraph, [54.0, 655.0, 507.0, 18.0], u7t8ZrHJAv, 6456605]
[paragraph, [159.0, 681.0, 406.0, 18.0], aH6p256l0T, 6456605]
[paragraph, [159.0, 699.0, 406.0, 18.0], aH6p256l0T, 6456605]
[paragraph, [159.0, 717.0, 406.0, 18.0], aH6p256l0T, 6456605]
[paragraph, [159.0, 735.0, 406.0, 18.0], aH6p256l0T, 6456605]
[sidebar, [43.0, 685.0, 115.0, 18.0], pxmJbP8nli, 6456605]
[sidebar, [43.0, 703.0, 115.0, 18.0], pxmJbP8nli, 6456605]
[sidebar, [43.0, 721.0, 115.0, 18.0], pxmJbP8nli, 6456605]
[paragraph, [48.0, 762.0, 505.0, 18.0], giBzSFxxdM, 6456605]
[footnote, [56.0, 792.0, 438.0, 18.0], dvJDW2uenH, 6456605]
