[1008, 612]
[paragraph, [58.0, 63.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[paragraph, [58.0, 81.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[paragraph, [58.0, 99.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[paragraph, [58.0, 117.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[paragraph, [58.0, 135.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[paragraph, [58.0, 153.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[paragraph, [58.0, 171.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[paragraph, [58.0, 189.0, 495.0, 18.0], shoonya_0sQGVYWQS80A20, 5717552]
[ordered-list, [64.0, 226.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 244.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 262.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 280.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 298.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 316.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 334.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 352.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 370.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 388.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 406.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 424.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 442.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 460.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 478.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 496.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[ordered-list, [64.0, 514.0, 494.0, 18.0], EGldwG_UE5, 5717552]
[sub-ordered-list, [95.0, 321.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 339.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 357.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 375.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 393.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 411.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 429.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 447.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 465.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 483.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[sub-ordered-list, [95.0, 501.0, 457.0, 18.0], WCtMETKlyK, 5717552]
[paragraph, [63.0, 542.0, 485.0, 18.0], 6JKPODi4j_, 5717552]
[paragraph, [63.0, 560.0, 485.0, 18.0], 6JKPODi4j_, 5717552]
[paragraph, [63.0, 578.0, 485.0, 18.0], 6JKPODi4j_, 5717552]
[paragraph, [63.0, 596.0, 485.0, 18.0], 6JKPODi4j_, 5717552]
[ordered-list, [65.0, 624.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 642.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 660.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 678.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 696.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 714.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 732.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 750.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 768.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[ordered-list, [65.0, 786.0, 497.0, 18.0], PxZ5vH4-Fg, 5717552]
[sub-ordered-list, [69.0, 627.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 645.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 663.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 681.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 699.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 717.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 735.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 753.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[sub-ordered-list, [69.0, 771.0, 486.0, 18.0], CTBF3uTEwV, 5717552]
[subsub-ordered-list, [97.0, 673.0, 451.0, 18.0], LwTwqnCDL_, 5717552]
[subsub-ordered-list, [97.0, 691.0, 451.0, 18.0], LwTwqnCDL_, 5717552]
[subsub-ordered-list, [97.0, 709.0, 451.0, 18.0], LwTwqnCDL_, 5717552]
[subsub-ordered-list, [97.0, 727.0, 451.0, 18.0], LwTwqnCDL_, 5717552]
[subsub-ordered-list, [97.0, 745.0, 451.0, 18.0], LwTwqnCDL_, 5717552]
[subsub-ordered-list, [97.0, 763.0, 451.0, 18.0], LwTwqnCDL_, 5717552]
