[1755, 1241]
[folio, [224.0, 203.0, 280.0, 36.0], gb7uwYKrkN, 5760373]
[paragraph, [211.0, 270.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 306.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 342.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 378.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 414.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 450.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 486.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 522.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [211.0, 558.0, 869.0, 36.0], shoonya_0sDV1MGJONJ6DO, 5760373]
[paragraph, [203.0, 605.0, 873.0, 36.0], _lFsTB-dLP, 5760373]
[paragraph, [203.0, 641.0, 873.0, 36.0], _lFsTB-dLP, 5760373]
[paragraph, [203.0, 677.0, 873.0, 36.0], _lFsTB-dLP, 5760373]
[paragraph, [203.0, 713.0, 873.0, 36.0], _lFsTB-dLP, 5760373]
[paragraph, [203.0, 749.0, 873.0, 36.0], _lFsTB-dLP, 5760373]
[paragraph, [201.0, 800.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 836.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 872.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 908.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 944.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 980.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1016.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1052.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1088.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1124.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1160.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1196.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1232.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1268.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1304.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1340.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1376.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1412.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1448.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1484.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1520.0, 871.0, 36.0], GfEn90TrjF, 5760373]
[paragraph, [201.0, 1556.0, 871.0, 36.0], GfEn90TrjF, 5760373]
