[1755, 1240]
[paragraph, [180.0, 190.0, 879.0, 36.0], shoonya_2sNT5UTK04UPT8, 5703999]
[paragraph, [180.0, 226.0, 879.0, 36.0], shoonya_2sNT5UTK04UPT8, 5703999]
[paragraph, [180.0, 262.0, 879.0, 36.0], shoonya_2sNT5UTK04UPT8, 5703999]
[paragraph, [180.0, 298.0, 879.0, 36.0], shoonya_2sNT5UTK04UPT8, 5703999]
[paragraph, [179.0, 384.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 420.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 456.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 492.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 528.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 564.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 600.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 636.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 672.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 708.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 744.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [179.0, 780.0, 879.0, 36.0], shoonya_0sG26C4I2IBTOK, 5703999]
[paragraph, [178.0, 867.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 903.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 939.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 975.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1011.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1047.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1083.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1119.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1155.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1191.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1227.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1263.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1299.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1335.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1371.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
[paragraph, [178.0, 1407.0, 880.0, 36.0], shoonya_1sFOKW0099FGK5, 5703999]
