[1191, 842]
[chapter-title, [252.0, 156.0, 363.0, 30.0], qqdvJHcEXM, 5657198]
[section-title, [134.0, 192.0, 583.0, 30.0], QZCQ5vL-MQ, 5657198]
[sub-section-title, [106.0, 253.0, 627.0, 25.5], y27TRbR14J, 5657198]
[folio, [398.0, 283.0, 46.0, 18.0], iui4csY0qr, 5657198]
[author, [271.0, 305.0, 284.0, 18.0], _RVMx39Uzp, 5657198]
[section-title, [262.0, 329.0, 320.0, 30.0], -y5v6hqGyN, 5657198]
[author, [279.0, 449.0, 277.0, 18.0], j7zGwOAlE1, 5657198]
[section-title, [224.0, 470.0, 386.0, 30.0], pPlwZMGghb, 5657198]
[paragraph, [268.0, 567.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 585.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 603.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 621.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 639.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 657.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 675.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 693.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 711.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 729.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 747.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 765.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 783.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 801.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[paragraph, [268.0, 819.0, 488.0, 18.0], shoonya_0sGAYIGJ3AVEKM, 5657198]
[figure-caption, [97.0, 774.0, 156.0, 18.0], S9PCZP1-6C, 5657198]
[paragraph, [84.0, 850.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 868.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 886.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 904.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 922.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 940.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 958.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 976.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 994.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[paragraph, [84.0, 1012.0, 492.0, 18.0], shoonya_9sC8ZILNQP7MVI, 5657198]
[figure-caption, [596.0, 1048.0, 151.0, 18.0], C9XgQbXjY5, 5657198]
[contact-info, [162.0, 1080.0, 508.0, 18.0], shoonya_7sSWG50VEW3ZGV, 5657198]
[contact-info, [162.0, 1098.0, 508.0, 18.0], shoonya_7sSWG50VEW3ZGV, 5657198]
