[1650, 1000]
[chapter-title, [222.0, 121.0, 575.0, 58.5], shoonya_4s8CBERXG9C273, 5732006]
[paragraph, [175.0, 251.0, 520.0, 36.0], shoonya_5sRHOZGYJGFZA1, 5732006]
[paragraph, [175.0, 287.0, 520.0, 36.0], shoonya_5sRHOZGYJGFZA1, 5732006]
[paragraph, [690.0, 359.0, 236.0, 36.0], shoonya_3sPKFD9736XECK, 5732006]
[paragraph, [77.0, 406.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 442.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 478.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 514.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 550.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 586.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 622.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 658.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 694.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 730.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 766.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 802.0, 855.0, 36.0], shoonya_1sBHL5QOOP9K09, 5732006]
[paragraph, [77.0, 858.0, 858.0, 36.0], shoonya_0s9OFEEPTFSEAS, 5732006]
[paragraph, [77.0, 894.0, 858.0, 36.0], shoonya_0s9OFEEPTFSEAS, 5732006]
[paragraph, [77.0, 930.0, 858.0, 36.0], shoonya_0s9OFEEPTFSEAS, 5732006]
[paragraph, [77.0, 966.0, 858.0, 36.0], shoonya_0s9OFEEPTFSEAS, 5732006]
[paragraph, [77.0, 1002.0, 858.0, 36.0], shoonya_0s9OFEEPTFSEAS, 5732006]
[paragraph, [77.0, 1038.0, 858.0, 36.0], shoonya_0s9OFEEPTFSEAS, 5732006]
[paragraph, [77.0, 1074.0, 858.0, 36.0], shoonya_0s9OFEEPTFSEAS, 5732006]
[paragraph, [130.0, 1152.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [130.0, 1188.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [130.0, 1224.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [130.0, 1260.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [130.0, 1296.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [130.0, 1332.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [130.0, 1368.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [130.0, 1404.0, 495.0, 36.0], shoonya_6sA92ZTWHNNV5X, 5732006]
[paragraph, [538.0, 1450.0, 389.0, 36.0], shoonya_2s9W6VUNISITBM, 5732006]
