[2200, 1700]
[paragraph, [301.0, 77.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 113.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 149.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 185.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 221.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 257.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 293.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 329.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 365.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 401.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 437.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 473.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 509.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 545.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [301.0, 581.0, 1100.0, 36.0], shoonya_2s0IT6SSCC08K2, 5730942]
[paragraph, [294.0, 623.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 659.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 695.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 731.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 767.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 803.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 839.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 875.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 911.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 947.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 983.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 1019.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 1055.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [294.0, 1091.0, 1106.0, 36.0], shoonya_1s6DSNHUMIVXK4, 5730942]
[paragraph, [285.0, 1137.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1173.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1209.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1245.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1281.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1317.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1353.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1389.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1425.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1461.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1497.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1533.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1569.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1605.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1641.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1677.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1713.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1749.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1785.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1821.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[paragraph, [285.0, 1857.0, 1113.0, 36.0], shoonya_0sY3C9OA2Y0OTI, 5730942]
[folio, [942.0, 2023.0, 360.0, 36.0], 1q6HiV0Fgc, 5730942]
