[1425, 1088]
[paragraph, [145.0, 138.0, 838.0, 18.0], shoonya_0sA3KT1GAZHJKK, 5759393]
[paragraph, [145.0, 156.0, 838.0, 18.0], shoonya_0sA3KT1GAZHJKK, 5759393]
[paragraph, [145.0, 174.0, 838.0, 18.0], shoonya_0sA3KT1GAZHJKK, 5759393]
[paragraph, [145.0, 192.0, 838.0, 18.0], shoonya_0sA3KT1GAZHJKK, 5759393]
[paragraph, [145.0, 210.0, 838.0, 18.0], shoonya_0sA3KT1GAZHJKK, 5759393]
[paragraph, [145.0, 228.0, 838.0, 18.0], shoonya_0sA3KT1GAZHJKK, 5759393]
[paragraph, [145.0, 246.0, 838.0, 18.0], shoonya_0sA3KT1GAZHJKK, 5759393]
[paragraph, [142.0, 292.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 310.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 328.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 346.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 364.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 382.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 400.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 418.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [142.0, 436.0, 841.0, 18.0], EzxJ0eWYOj, 5759393]
[paragraph, [139.0, 493.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 511.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 529.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 547.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 565.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 583.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 601.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 619.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 637.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[paragraph, [139.0, 655.0, 842.0, 18.0], 76RQr3P5Ve, 5759393]
[sidebar, [531.0, 766.0, 175.0, 18.0], gkN-B0shMg, 5759393]
[sidebar, [455.0, 866.0, 216.0, 18.0], mQq2mAZjHR, 5759393]
[sidebar, [455.0, 884.0, 216.0, 18.0], mQq2mAZjHR, 5759393]
[sidebar, [455.0, 902.0, 216.0, 18.0], mQq2mAZjHR, 5759393]
[paragraph, [144.0, 990.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1008.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1026.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1044.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1062.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1080.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1098.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1116.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1134.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [144.0, 1152.0, 844.0, 18.0], DA0TKIs_08, 5759393]
[paragraph, [142.0, 1204.0, 854.0, 18.0], _SX-gxFBLR, 5759393]
[paragraph, [142.0, 1222.0, 854.0, 18.0], _SX-gxFBLR, 5759393]
[paragraph, [142.0, 1240.0, 854.0, 18.0], _SX-gxFBLR, 5759393]
[paragraph, [142.0, 1258.0, 854.0, 18.0], _SX-gxFBLR, 5759393]
[paragraph, [142.0, 1276.0, 854.0, 18.0], _SX-gxFBLR, 5759393]
[folio, [140.0, 1357.0, 136.0, 18.0], Edr0Azspii, 5759393]
