[1754, 1240]
[paragraph, [622.0, 157.0, 452.0, 36.0], shoonya_4sQOTWYKZ6JA4U, 5722734]
[paragraph, [622.0, 193.0, 452.0, 36.0], shoonya_4sQOTWYKZ6JA4U, 5722734]
[paragraph, [622.0, 229.0, 452.0, 36.0], shoonya_4sQOTWYKZ6JA4U, 5722734]
[paragraph, [636.0, 281.0, 409.0, 36.0], shoonya_20sSC12WLKY40Q, 5722734]
[paragraph, [636.0, 317.0, 409.0, 36.0], shoonya_20sSC12WLKY40Q, 5722734]
[author, [166.0, 374.0, 335.0, 36.0], shoonya_14s0SF6U0OUYH7, 5722734]
[paragraph, [609.0, 388.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 424.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 460.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 496.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 532.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 568.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 604.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 640.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [609.0, 676.0, 468.0, 36.0], shoonya_0sOE8A8IE7X7CO, 5722734]
[paragraph, [187.0, 452.0, 153.0, 36.0], BljulCr1D0, 5722734]
[paragraph, [153.0, 536.0, 442.0, 36.0], shoonya_5sIMM1SUTIAHLH, 5722734]
[paragraph, [153.0, 572.0, 442.0, 36.0], shoonya_5sIMM1SUTIAHLH, 5722734]
[paragraph, [153.0, 608.0, 442.0, 36.0], shoonya_5sIMM1SUTIAHLH, 5722734]
[paragraph, [153.0, 644.0, 442.0, 36.0], shoonya_5sIMM1SUTIAHLH, 5722734]
[paragraph, [153.0, 680.0, 442.0, 36.0], shoonya_5sIMM1SUTIAHLH, 5722734]
[paragraph, [153.0, 716.0, 442.0, 36.0], shoonya_5sIMM1SUTIAHLH, 5722734]
[paragraph, [610.0, 769.0, 467.0, 36.0], shoonya_2sY9X7ISKYK2ND, 5722734]
[paragraph, [610.0, 805.0, 467.0, 36.0], shoonya_2sY9X7ISKYK2ND, 5722734]
[paragraph, [610.0, 841.0, 467.0, 36.0], shoonya_2sY9X7ISKYK2ND, 5722734]
[paragraph, [610.0, 877.0, 467.0, 36.0], shoonya_2sY9X7ISKYK2ND, 5722734]
[paragraph, [610.0, 913.0, 467.0, 36.0], shoonya_2sY9X7ISKYK2ND, 5722734]
[paragraph, [610.0, 949.0, 467.0, 36.0], shoonya_2sY9X7ISKYK2ND, 5722734]
[paragraph, [610.0, 985.0, 467.0, 36.0], shoonya_2sY9X7ISKYK2ND, 5722734]
[paragraph, [151.0, 808.0, 444.0, 36.0], shoonya_6sDQS5H4KRE1AR, 5722734]
[paragraph, [151.0, 844.0, 444.0, 36.0], shoonya_6sDQS5H4KRE1AR, 5722734]
[paragraph, [151.0, 880.0, 444.0, 36.0], shoonya_6sDQS5H4KRE1AR, 5722734]
[paragraph, [151.0, 916.0, 444.0, 36.0], shoonya_6sDQS5H4KRE1AR, 5722734]
[paragraph, [151.0, 952.0, 444.0, 36.0], shoonya_6sDQS5H4KRE1AR, 5722734]
[paragraph, [151.0, 988.0, 444.0, 36.0], shoonya_6sDQS5H4KRE1AR, 5722734]
[paragraph, [153.0, 1042.0, 441.0, 36.0], shoonya_9sYJXEI5YBUKM9, 5722734]
[paragraph, [611.0, 1083.0, 466.0, 36.0], shoonya_3sSBUTZ3T7DV0H, 5722734]
[paragraph, [611.0, 1119.0, 466.0, 36.0], shoonya_3sSBUTZ3T7DV0H, 5722734]
[paragraph, [611.0, 1155.0, 466.0, 36.0], shoonya_3sSBUTZ3T7DV0H, 5722734]
[paragraph, [611.0, 1191.0, 466.0, 36.0], shoonya_3sSBUTZ3T7DV0H, 5722734]
[paragraph, [151.0, 1127.0, 442.0, 36.0], 7kqgR-dh40, 5722734]
[paragraph, [151.0, 1163.0, 442.0, 36.0], 7kqgR-dh40, 5722734]
[paragraph, [162.0, 1253.0, 434.0, 36.0], shoonya_21sC60TZ16CHSP, 5722734]
[paragraph, [162.0, 1289.0, 434.0, 36.0], shoonya_21sC60TZ16CHSP, 5722734]
[paragraph, [162.0, 1325.0, 434.0, 36.0], shoonya_21sC60TZ16CHSP, 5722734]
[paragraph, [162.0, 1361.0, 434.0, 36.0], shoonya_21sC60TZ16CHSP, 5722734]
[paragraph, [162.0, 1397.0, 434.0, 36.0], shoonya_21sC60TZ16CHSP, 5722734]
[paragraph, [637.0, 1274.0, 276.0, 36.0], shoonya_22sFAF1WA8GFK8, 5722734]
[section-title, [640.0, 1357.0, 351.0, 49.5], bBs4Sw5Soi, 5722734]
[paragraph, [611.0, 1404.0, 466.0, 36.0], shoonya_18sSDVCFWRR8O1, 5722734]
