[842, 595]
[chapter-title, [195.0, 101.0, 165.0, 30.0], Y0iUN3sVMF, 6461016]
[author, [168.0, 144.0, 222.0, 18.0], Z6dIL5UC9z, 6461016]
[author, [168.0, 162.0, 222.0, 18.0], Z6dIL5UC9z, 6461016]
[paragraph, [58.0, 217.0, 428.0, 18.0], T03mttFe67, 6461016]
[paragraph, [58.0, 235.0, 428.0, 18.0], T03mttFe67, 6461016]
[paragraph, [58.0, 253.0, 428.0, 18.0], T03mttFe67, 6461016]
[paragraph, [58.0, 271.0, 428.0, 18.0], T03mttFe67, 6461016]
[paragraph, [58.0, 289.0, 428.0, 18.0], T03mttFe67, 6461016]
[paragraph, [58.0, 307.0, 428.0, 18.0], T03mttFe67, 6461016]
[paragraph, [58.0, 325.0, 428.0, 18.0], T03mttFe67, 6461016]
[paragraph, [57.0, 348.0, 427.0, 18.0], TYo0RrsKvU, 6461016]
[paragraph, [57.0, 366.0, 427.0, 18.0], TYo0RrsKvU, 6461016]
[paragraph, [57.0, 384.0, 427.0, 18.0], TYo0RrsKvU, 6461016]
[paragraph, [65.0, 420.0, 415.0, 18.0], cBf0Hu8Q3K, 6461016]
[paragraph, [65.0, 438.0, 415.0, 18.0], cBf0Hu8Q3K, 6461016]
[paragraph, [62.0, 473.0, 416.0, 18.0], pNgK8j3-Dz, 6461016]
[paragraph, [62.0, 491.0, 416.0, 18.0], pNgK8j3-Dz, 6461016]
[paragraph, [62.0, 509.0, 416.0, 18.0], pNgK8j3-Dz, 6461016]
[paragraph, [65.0, 542.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 560.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 578.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 596.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 614.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 632.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 650.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 668.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [65.0, 686.0, 412.0, 18.0], OIRT2IjHPO, 6461016]
[paragraph, [93.0, 719.0, 377.0, 18.0], zcSEID6TgO, 6461016]
