[5478, 3644]
[folio, [2275.0, 419.0, 784.0, 52.5], 9sgQFRVB_9, 5710496]
[folio, [2275.0, 471.5, 784.0, 52.5], 9sgQFRVB_9, 5710496]
[folio, [2275.0, 524.0, 784.0, 52.5], 9sgQFRVB_9, 5710496]
[paragraph, [506.0, 653.0, 2586.0, 52.5], shoonya_1sTUX86E900HDM, 5710496]
[paragraph, [506.0, 705.5, 2586.0, 52.5], shoonya_1sTUX86E900HDM, 5710496]
[paragraph, [506.0, 758.0, 2586.0, 52.5], shoonya_1sTUX86E900HDM, 5710496]
[paragraph, [506.0, 810.5, 2586.0, 52.5], shoonya_1sTUX86E900HDM, 5710496]
[paragraph, [506.0, 863.0, 2586.0, 52.5], shoonya_1sTUX86E900HDM, 5710496]
[paragraph, [536.0, 1054.0, 2582.0, 52.5], shoonya_0sAB38FG7AJOMF, 5710496]
[paragraph, [536.0, 1106.5, 2582.0, 52.5], shoonya_0sAB38FG7AJOMF, 5710496]
[paragraph, [536.0, 1159.0, 2582.0, 52.5], shoonya_0sAB38FG7AJOMF, 5710496]
[paragraph, [536.0, 1211.5, 2582.0, 52.5], shoonya_0sAB38FG7AJOMF, 5710496]
[paragraph, [536.0, 1264.0, 2582.0, 52.5], shoonya_0sAB38FG7AJOMF, 5710496]
[quote, [743.0, 1318.0, 1965.0, 52.5], Rk2dpqHOn2, 5710496]
[quote, [743.0, 1370.5, 1965.0, 52.5], Rk2dpqHOn2, 5710496]
[paragraph, [725.0, 1455.0, 1965.0, 52.5], TiLJ_-gmYG, 5710496]
[paragraph, [725.0, 1507.5, 1965.0, 52.5], TiLJ_-gmYG, 5710496]
[quote, [729.0, 1582.0, 364.0, 52.5], nwerlKC8VA, 5710496]
[quote, [729.0, 1634.5, 364.0, 52.5], nwerlKC8VA, 5710496]
[quote, [734.0, 1715.0, 1432.0, 52.5], U52rN8OGYT, 5710496]
[quote, [734.0, 1767.5, 1432.0, 52.5], U52rN8OGYT, 5710496]
[paragraph, [757.0, 1860.0, 1947.0, 52.5], 4HHbeYiDcH, 5710496]
[paragraph, [757.0, 1912.5, 1947.0, 52.5], 4HHbeYiDcH, 5710496]
[quote, [729.0, 1988.0, 1463.0, 52.5], i89uD-4oPh, 5710496]
[quote, [729.0, 2040.5, 1463.0, 52.5], i89uD-4oPh, 5710496]
[paragraph, [725.0, 2116.0, 2047.0, 52.5], 9XRmNq6hrB, 5710496]
[paragraph, [725.0, 2168.5, 2047.0, 52.5], 9XRmNq6hrB, 5710496]
[quote, [734.0, 2253.0, 1354.0, 52.5], iMj7k5f7Ns, 5710496]
[quote, [734.0, 2305.5, 1354.0, 52.5], iMj7k5f7Ns, 5710496]
[paragraph, [515.0, 2380.0, 2558.0, 52.5], H2mCS6ky42, 5710496]
[paragraph, [515.0, 2432.5, 2558.0, 52.5], H2mCS6ky42, 5710496]
[paragraph, [515.0, 2485.0, 2558.0, 52.5], H2mCS6ky42, 5710496]
[paragraph, [515.0, 2537.5, 2558.0, 52.5], H2mCS6ky42, 5710496]
[paragraph, [515.0, 2590.0, 2558.0, 52.5], H2mCS6ky42, 5710496]
[paragraph, [515.0, 2642.5, 2558.0, 52.5], H2mCS6ky42, 5710496]
[paragraph, [515.0, 2695.0, 2558.0, 52.5], H2mCS6ky42, 5710496]
[paragraph, [729.0, 2773.0, 2362.0, 52.5], Ic3TcNj3Jr, 5710496]
[paragraph, [729.0, 2825.5, 2362.0, 52.5], Ic3TcNj3Jr, 5710496]
[quote, [743.0, 2887.0, 1710.0, 52.5], lyLreV4pjq, 5710496]
[quote, [743.0, 2939.5, 1710.0, 52.5], lyLreV4pjq, 5710496]
[paragraph, [743.0, 3033.0, 1336.0, 52.5], 1BmI7uS2P-, 5710496]
[paragraph, [743.0, 3085.5, 1336.0, 52.5], 1BmI7uS2P-, 5710496]
[quote, [743.0, 3151.0, 1733.0, 52.5], Ff25VfS8FS, 5710496]
[quote, [743.0, 3203.5, 1733.0, 52.5], Ff25VfS8FS, 5710496]
[paragraph, [501.0, 3279.0, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3331.5, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3384.0, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3436.5, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3489.0, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3541.5, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3594.0, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3646.5, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3699.0, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3751.5, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3804.0, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3856.5, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3909.0, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 3961.5, 2613.0, 52.5], AePgy1Fqgj, 5710496]
[paragraph, [501.0, 4063.0, 2622.0, 52.5], _-ykMo-0fB, 5710496]
[paragraph, [501.0, 4115.5, 2622.0, 52.5], _-ykMo-0fB, 5710496]
[paragraph, [501.0, 4168.0, 2622.0, 52.5], _-ykMo-0fB, 5710496]
[paragraph, [501.0, 4220.5, 2622.0, 52.5], _-ykMo-0fB, 5710496]
[paragraph, [501.0, 4273.0, 2622.0, 52.5], _-ykMo-0fB, 5710496]
[paragraph, [501.0, 4325.5, 2622.0, 52.5], _-ykMo-0fB, 5710496]
[paragraph, [501.0, 4378.0, 2622.0, 52.5], _-ykMo-0fB, 5710496]
[paragraph, [497.0, 4442.0, 2631.0, 52.5], ljHTNWsC0Q, 5710496]
[paragraph, [497.0, 4494.5, 2631.0, 52.5], ljHTNWsC0Q, 5710496]
[paragraph, [497.0, 4547.0, 2631.0, 52.5], ljHTNWsC0Q, 5710496]
[paragraph, [497.0, 4599.5, 2631.0, 52.5], ljHTNWsC0Q, 5710496]
[paragraph, [497.0, 4652.0, 2631.0, 52.5], ljHTNWsC0Q, 5710496]
[paragraph, [497.0, 4704.5, 2631.0, 52.5], ljHTNWsC0Q, 5710496]
[paragraph, [497.0, 4757.0, 2631.0, 52.5], ljHTNWsC0Q, 5710496]
