[2545, 1972]
[paragraph, [56.0, 104.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 150.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 197.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 243.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 290.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 336.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 383.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 429.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 476.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 522.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 569.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 615.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 662.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 708.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 755.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 801.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 848.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 894.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 941.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 987.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1034.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1080.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1127.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1173.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1220.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1266.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1313.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1359.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1406.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1452.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1499.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1545.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1592.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1638.5, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [56.0, 1685.0, 1779.0, 46.5], 7219JzEABY, 5683471]
[paragraph, [61.0, 1774.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 1820.5, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 1867.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 1913.5, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 1960.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2006.5, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2053.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2099.5, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2146.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2192.5, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2239.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2285.5, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2332.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2378.5, 1647.0, 46.5], lAmvbhI5s0, 5683471]
[paragraph, [61.0, 2425.0, 1647.0, 46.5], lAmvbhI5s0, 5683471]
