[1638, 1048]
[paragraph, [115.0, 202.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 238.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 274.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 310.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 346.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 382.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 418.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 454.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 490.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 526.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 562.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 598.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 634.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 670.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 706.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 742.0, 829.0, 36.0], shoonya_0sNELYARDSNLL8, 5681392]
[paragraph, [115.0, 784.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 820.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 856.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 892.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 928.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 964.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 1000.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 1036.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 1072.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 1108.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 1144.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 1180.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [115.0, 1216.0, 829.0, 36.0], shoonya_1sMRUV07PA9G8V, 5681392]
[paragraph, [110.0, 1291.0, 836.0, 36.0], shoonya_2sQAMO3T74D3TW, 5681392]
[paragraph, [110.0, 1327.0, 836.0, 36.0], shoonya_2sQAMO3T74D3TW, 5681392]
[paragraph, [110.0, 1363.0, 836.0, 36.0], shoonya_2sQAMO3T74D3TW, 5681392]
[paragraph, [110.0, 1399.0, 836.0, 36.0], shoonya_2sQAMO3T74D3TW, 5681392]
[paragraph, [110.0, 1435.0, 836.0, 36.0], shoonya_2sQAMO3T74D3TW, 5681392]
[paragraph, [110.0, 1471.0, 836.0, 36.0], shoonya_2sQAMO3T74D3TW, 5681392]
