[1507, 1065]
[ordered-list, [537.0, 48.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 84.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 120.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 156.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 192.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 228.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 264.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 300.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 336.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 372.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 408.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 444.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 480.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 516.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 552.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 588.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 624.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 660.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 696.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 732.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 768.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 804.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 840.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 876.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 912.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 948.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 984.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1020.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1056.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1092.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1128.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1164.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1200.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1236.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1272.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1308.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1344.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1380.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [537.0, 1416.0, 521.0, 36.0], shoonya_0sVGUV9VDX7ECH, 5698770]
[ordered-list, [11.0, 49.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 85.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 121.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 157.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 193.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 229.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 265.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 301.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 337.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 373.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 409.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 445.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 481.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 517.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 553.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 589.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 625.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 661.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 697.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 733.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 769.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 805.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 841.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 877.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 913.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 949.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 985.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1021.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1057.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1093.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1129.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1165.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1201.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1237.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1273.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1309.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1345.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1381.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
[ordered-list, [11.0, 1417.0, 515.0, 36.0], shoonya_3sIW0JRHPYLWQC, 5698770]
