[1336, 843]
[paragraph, [34.0, 33.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [34.0, 51.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [34.0, 69.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [34.0, 87.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [34.0, 105.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [34.0, 123.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [34.0, 141.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [34.0, 159.0, 765.0, 18.0], cXVTkPuk67, 5660518]
[paragraph, [36.0, 183.0, 759.0, 18.0], gpdkEFEOCi, 5660518]
[paragraph, [36.0, 201.0, 759.0, 18.0], gpdkEFEOCi, 5660518]
[paragraph, [36.0, 219.0, 759.0, 18.0], gpdkEFEOCi, 5660518]
[paragraph, [83.0, 253.0, 514.0, 18.0], jf1tdfLVzZ, 5660518]
[paragraph, [83.0, 271.0, 514.0, 18.0], jf1tdfLVzZ, 5660518]
[paragraph, [83.0, 289.0, 514.0, 18.0], jf1tdfLVzZ, 5660518]
[paragraph, [83.0, 307.0, 514.0, 18.0], jf1tdfLVzZ, 5660518]
[paragraph, [40.0, 329.0, 754.0, 18.0], SYxknv7cT6, 5660518]
[paragraph, [40.0, 347.0, 754.0, 18.0], SYxknv7cT6, 5660518]
[paragraph, [40.0, 365.0, 754.0, 18.0], SYxknv7cT6, 5660518]
[paragraph, [90.0, 399.0, 504.0, 18.0], fPVo50G6PC, 5660518]
[paragraph, [90.0, 417.0, 504.0, 18.0], fPVo50G6PC, 5660518]
[paragraph, [90.0, 435.0, 504.0, 18.0], fPVo50G6PC, 5660518]
[paragraph, [90.0, 453.0, 504.0, 18.0], fPVo50G6PC, 5660518]
[paragraph, [36.0, 475.0, 758.0, 18.0], OTsF30S1gO, 5660518]
[paragraph, [36.0, 493.0, 758.0, 18.0], OTsF30S1gO, 5660518]
[paragraph, [36.0, 511.0, 758.0, 18.0], OTsF30S1gO, 5660518]
[paragraph, [86.0, 545.0, 496.0, 18.0], w8mB-i-ZFz, 5660518]
[paragraph, [86.0, 563.0, 496.0, 18.0], w8mB-i-ZFz, 5660518]
[paragraph, [86.0, 581.0, 496.0, 18.0], w8mB-i-ZFz, 5660518]
[paragraph, [27.0, 618.0, 770.0, 18.0], c25UY0YApL, 5660518]
[paragraph, [27.0, 636.0, 770.0, 18.0], c25UY0YApL, 5660518]
[paragraph, [27.0, 654.0, 770.0, 18.0], c25UY0YApL, 5660518]
[paragraph, [90.0, 688.0, 518.0, 18.0], 2Nk5wxoPxM, 5660518]
[paragraph, [90.0, 706.0, 518.0, 18.0], 2Nk5wxoPxM, 5660518]
[paragraph, [90.0, 724.0, 518.0, 18.0], 2Nk5wxoPxM, 5660518]
[paragraph, [90.0, 742.0, 518.0, 18.0], 2Nk5wxoPxM, 5660518]
[paragraph, [36.0, 763.0, 759.0, 18.0], zRWNbF4zKe, 5660518]
[paragraph, [36.0, 781.0, 759.0, 18.0], zRWNbF4zKe, 5660518]
[paragraph, [36.0, 799.0, 759.0, 18.0], zRWNbF4zKe, 5660518]
[paragraph, [37.0, 835.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 853.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 871.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 889.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 907.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 925.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 943.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 961.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 979.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 997.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1015.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1033.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1051.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1069.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1087.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1105.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1123.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[paragraph, [37.0, 1141.0, 762.0, 18.0], TeOv-nt9Sm, 5660518]
[folio, [228.0, 1210.0, 419.0, 18.0], UgGFRvvZ7L, 5660518]
[folio, [228.0, 1228.0, 419.0, 18.0], UgGFRvvZ7L, 5660518]
[footnote, [3.0, 1252.0, 834.0, 18.0], yUMhecX__5, 5660518]
[footnote, [3.0, 1270.0, 834.0, 18.0], yUMhecX__5, 5660518]
[footnote, [3.0, 1288.0, 834.0, 18.0], yUMhecX__5, 5660518]
[footnote, [3.0, 1306.0, 834.0, 18.0], yUMhecX__5, 5660518]
[website-link, [155.0, 1289.0, 224.0, 18.0], jvQ1T0YDyV, 5660518]
[website-link, [482.0, 1290.0, 202.0, 18.0], ktSBoPkQDa, 5660518]
