[842, 596]
[paragraph, [87.0, 61.0, 462.0, 18.0], JnUFz0pf16, 5706758]
[paragraph, [87.0, 79.0, 462.0, 18.0], JnUFz0pf16, 5706758]
[ordered-list, [45.0, 100.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 118.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 136.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 154.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 172.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 190.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 208.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 226.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 244.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 262.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 280.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 298.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 316.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 334.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 352.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 370.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 388.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 406.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 424.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 442.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 460.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 478.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 496.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 514.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 532.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 550.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 568.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 586.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 604.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 622.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 640.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 658.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 676.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 694.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 712.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 730.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[ordered-list, [45.0, 748.0, 510.0, 18.0], shoonya_0sHDH2IUEUVNTY, 5706758]
[sub-ordered-list, [92.0, 115.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 133.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 151.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 169.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 187.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 205.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 223.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 241.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 259.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 277.0, 455.0, 18.0], 0Gc307pro2, 5706758]
[sub-ordered-list, [92.0, 295.0, 455.0, 18.0], 0Gc307pro2, 5706758]
