[1754, 1241]
[paragraph, [212.0, 139.0, 882.0, 36.0], bJ-aSvqeKU, 6470708]
[paragraph, [212.0, 175.0, 882.0, 36.0], bJ-aSvqeKU, 6470708]
[paragraph, [215.0, 252.0, 882.0, 36.0], j9w01cqUmR, 6470708]
[paragraph, [215.0, 288.0, 882.0, 36.0], j9w01cqUmR, 6470708]
[paragraph, [215.0, 324.0, 882.0, 36.0], j9w01cqUmR, 6470708]
[paragraph, [215.0, 360.0, 882.0, 36.0], j9w01cqUmR, 6470708]
[paragraph, [290.0, 431.0, 816.0, 36.0], U3KMXXsZfp, 6470708]
[paragraph, [207.0, 482.0, 893.0, 36.0], PGaDyw6-fk, 6470708]
[paragraph, [207.0, 518.0, 893.0, 36.0], PGaDyw6-fk, 6470708]
[paragraph, [207.0, 554.0, 893.0, 36.0], PGaDyw6-fk, 6470708]
[paragraph, [207.0, 590.0, 893.0, 36.0], PGaDyw6-fk, 6470708]
[paragraph, [293.0, 656.0, 262.0, 36.0], Z84ZPeCipT, 6470708]
[paragraph, [207.0, 718.0, 893.0, 36.0], lCrnNFAON3, 6470708]
[paragraph, [207.0, 754.0, 893.0, 36.0], lCrnNFAON3, 6470708]
[reference, [910.0, 837.0, 179.0, 36.0], 4jKIAWw4YV, 6470708]
[paragraph, [209.0, 891.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 927.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 963.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 999.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1035.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1071.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1107.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1143.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1179.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1215.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1251.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1287.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1323.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1359.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[paragraph, [209.0, 1395.0, 892.0, 36.0], shoonya_0sZNWTH5L4U4LF, 6470708]
[footnote, [210.0, 1564.0, 142.0, 36.0], ILVis_gFAb, 6470708]
