[1755, 1240]
[folio, [646.0, 71.0, 480.0, 36.0], AO5U3kl-8G, 5744103]
[paragraph, [198.0, 207.0, 930.0, 36.0], -yvV5mts7v, 5744103]
[paragraph, [198.0, 243.0, 930.0, 36.0], -yvV5mts7v, 5744103]
[paragraph, [198.0, 279.0, 930.0, 36.0], -yvV5mts7v, 5744103]
[paragraph, [198.0, 315.0, 930.0, 36.0], -yvV5mts7v, 5744103]
[paragraph, [196.0, 355.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 391.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 427.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 463.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 499.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 535.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 571.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 607.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 643.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 679.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [196.0, 715.0, 937.0, 36.0], -Y7c4h6xCo, 5744103]
[paragraph, [192.0, 830.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 866.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 902.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 938.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 974.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 1010.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 1046.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 1082.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 1118.0, 934.0, 36.0], E1SO07uiY8, 5744103]
[paragraph, [192.0, 1196.0, 943.0, 36.0], 9PXIKYywTf, 5744103]
[paragraph, [192.0, 1232.0, 943.0, 36.0], 9PXIKYywTf, 5744103]
[paragraph, [192.0, 1268.0, 943.0, 36.0], 9PXIKYywTf, 5744103]
[paragraph, [192.0, 1304.0, 943.0, 36.0], 9PXIKYywTf, 5744103]
[paragraph, [192.0, 1340.0, 943.0, 36.0], 9PXIKYywTf, 5744103]
[paragraph, [195.0, 1454.0, 934.0, 36.0], EgEz3CMzLL, 5744103]
[paragraph, [195.0, 1490.0, 934.0, 36.0], EgEz3CMzLL, 5744103]
[paragraph, [195.0, 1526.0, 934.0, 36.0], EgEz3CMzLL, 5744103]
[paragraph, [195.0, 1562.0, 934.0, 36.0], EgEz3CMzLL, 5744103]
