[1684, 1191]
[folio, [396.0, 88.0, 398.0, 36.0], 3LFk0ZoJsL, 6464141]
[paragraph, [78.0, 189.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 225.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 261.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 297.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 333.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 369.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 405.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 441.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 477.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 513.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 549.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 585.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 621.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 657.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 693.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 729.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 765.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 801.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 837.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 873.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 909.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 945.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 981.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1017.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1053.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1089.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1125.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1161.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1197.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1233.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1269.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1305.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1341.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1377.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1413.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
[paragraph, [78.0, 1449.0, 1024.0, 36.0], shoonya_0sZP92YCOQWH3E, 6464141]
