[2339, 1653]
[paragraph, [324.0, 164.0, 1136.0, 36.0], shoonya_1sYDW4YOFUYNFU, 5733728]
[paragraph, [324.0, 200.0, 1136.0, 36.0], shoonya_1sYDW4YOFUYNFU, 5733728]
[paragraph, [324.0, 236.0, 1136.0, 36.0], shoonya_1sYDW4YOFUYNFU, 5733728]
[paragraph, [324.0, 272.0, 1136.0, 36.0], shoonya_1sYDW4YOFUYNFU, 5733728]
[paragraph, [324.0, 308.0, 1136.0, 36.0], shoonya_1sYDW4YOFUYNFU, 5733728]
[paragraph, [324.0, 344.0, 1136.0, 36.0], shoonya_1sYDW4YOFUYNFU, 5733728]
[paragraph, [324.0, 380.0, 1136.0, 36.0], shoonya_1sYDW4YOFUYNFU, 5733728]
[paragraph, [327.0, 447.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 483.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 519.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 555.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 591.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 627.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 663.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 699.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 735.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 771.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 807.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 843.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 879.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 915.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 951.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 987.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1023.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1059.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1095.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1131.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1167.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1203.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1239.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1275.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1311.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1347.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1383.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1419.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [327.0, 1455.0, 1138.0, 36.0], shoonya_2sR44VQSE5XDWK, 5733728]
[paragraph, [329.0, 1506.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1542.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1578.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1614.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1650.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1686.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1722.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1758.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1794.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1830.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1866.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1902.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1938.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 1974.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 2010.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[paragraph, [329.0, 2046.0, 1134.0, 36.0], shoonya_0s872VUUA9MFIX, 5733728]
[folio, [1110.0, 2155.0, 270.0, 36.0], gGiSU29_l7, 5733728]
