[2339, 1653]
[paragraph, [323.0, 163.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 199.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 235.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 271.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 307.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 343.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 379.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 415.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 451.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [323.0, 487.0, 1136.0, 36.0], shoonya_1s6OGJKADGS1WX, 5733487]
[paragraph, [327.0, 550.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 586.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 622.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 658.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 694.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 730.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 766.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 802.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 838.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 874.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 910.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 946.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [327.0, 982.0, 1130.0, 36.0], shoonya_2s76EO1PSZPFTQ, 5733487]
[paragraph, [325.0, 1054.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1090.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1126.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1162.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1198.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1234.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1270.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1306.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1342.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1378.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1414.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1450.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1486.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1522.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1558.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1594.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1630.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [325.0, 1666.0, 1135.0, 36.0], shoonya_0sNRCO1ZQ04FDY, 5733487]
[paragraph, [327.0, 1724.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 1760.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 1796.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 1832.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 1868.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 1904.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 1940.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 1976.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 2012.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[paragraph, [327.0, 2048.0, 1133.0, 36.0], shoonya_3sS5U0L3WV018G, 5733487]
[folio, [815.0, 2155.0, 571.0, 36.0], NcKii-wunc, 5733487]
