[792, 612]
[folio, [141.0, 108.0, 368.0, 18.0], sEtwm6cD_w, 5720742]
[paragraph, [99.0, 131.0, 407.0, 18.0], shoonya_0s4LZX2XBHMJVT, 5720742]
[paragraph, [99.0, 149.0, 407.0, 18.0], shoonya_0s4LZX2XBHMJVT, 5720742]
[paragraph, [99.0, 167.0, 407.0, 18.0], shoonya_0s4LZX2XBHMJVT, 5720742]
[paragraph, [99.0, 185.0, 407.0, 18.0], shoonya_0s4LZX2XBHMJVT, 5720742]
[paragraph, [103.0, 242.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[paragraph, [103.0, 260.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[paragraph, [103.0, 278.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[paragraph, [103.0, 296.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[paragraph, [103.0, 314.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[paragraph, [103.0, 332.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[paragraph, [103.0, 350.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[paragraph, [103.0, 368.0, 403.0, 18.0], 4Vw5WMsHvi, 5720742]
[ordered-list, [104.0, 389.0, 375.0, 18.0], ZYRBWBMCL8, 5720742]
[ordered-list, [104.0, 407.0, 375.0, 18.0], ZYRBWBMCL8, 5720742]
[paragraph, [104.0, 437.0, 402.0, 18.0], nlKchJuW3J, 5720742]
[paragraph, [104.0, 455.0, 402.0, 18.0], nlKchJuW3J, 5720742]
[paragraph, [104.0, 473.0, 402.0, 18.0], nlKchJuW3J, 5720742]
[paragraph, [104.0, 491.0, 402.0, 18.0], nlKchJuW3J, 5720742]
[paragraph, [104.0, 511.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
[paragraph, [104.0, 529.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
[paragraph, [104.0, 547.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
[paragraph, [104.0, 565.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
[paragraph, [104.0, 583.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
[paragraph, [104.0, 601.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
[paragraph, [104.0, 619.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
[paragraph, [104.0, 637.0, 406.0, 18.0], uPHIDYgwAd, 5720742]
