[792, 612]
[folio, [204.0, 25.0, 233.0, 18.0], 8Tg_pqYZ9I, 5743833]
[reference, [111.0, 55.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 73.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 91.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 109.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 127.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 145.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 163.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 181.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 199.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 217.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 235.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 253.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 271.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 289.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 307.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 325.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 343.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 361.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 379.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 397.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 415.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 433.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 451.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 469.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 487.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 505.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 523.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 541.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 559.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 577.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 595.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 613.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 631.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 649.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 667.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 685.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[reference, [111.0, 703.0, 424.0, 18.0], shoonya_1sQCKXQYMXGOZH, 5743833]
[unordered-list, [122.0, 582.0, 417.0, 18.0], 59BsdTweV1, 5743833]
[unordered-list, [122.0, 600.0, 417.0, 18.0], 59BsdTweV1, 5743833]
[unordered-list, [122.0, 618.0, 417.0, 18.0], 59BsdTweV1, 5743833]
[unordered-list, [122.0, 636.0, 417.0, 18.0], 59BsdTweV1, 5743833]
[unordered-list, [122.0, 654.0, 417.0, 18.0], 59BsdTweV1, 5743833]
[unordered-list, [122.0, 672.0, 417.0, 18.0], 59BsdTweV1, 5743833]
[unordered-list, [122.0, 690.0, 417.0, 18.0], 59BsdTweV1, 5743833]
[unordered-list, [122.0, 708.0, 417.0, 18.0], 59BsdTweV1, 5743833]
