[1267, 753]
[folio, [301.0, 76.0, 144.0, 18.0], shoonya_4sH9IPPCPSSF76, 5699832]
[paragraph, [83.0, 127.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 145.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 163.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 181.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 199.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 217.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 235.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 253.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 271.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 289.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 307.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 325.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 343.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 361.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 379.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 397.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 415.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 433.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 451.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 469.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 487.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 505.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 523.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 541.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 559.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 577.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 595.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[paragraph, [83.0, 613.0, 585.0, 18.0], shoonya_1sJ5657G7LOZ09, 5699832]
[section-title, [205.0, 660.0, 338.0, 30.0], shoonya_3sZ8Z6VAMGOIU4, 5699832]
[paragraph, [82.0, 707.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 725.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 743.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 761.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 779.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 797.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 815.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 833.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 851.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 869.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 887.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 905.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 923.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 941.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 959.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 977.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 995.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1013.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1031.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1049.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1067.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1085.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1103.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1121.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1139.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
[paragraph, [82.0, 1157.0, 587.0, 18.0], shoonya_0sUYANGUJ9R2CK, 5699832]
