[1650, 1275]
[sub-section-title, [690.0, 182.0, 280.0, 36.0], shoonya_1s4XYSKZMM1B5K, 6477478]
[paragraph, [131.0, 221.0, 496.0, 36.0], shoonya_0s3H35EK23JCPF, 6477478]
[paragraph, [131.0, 257.0, 496.0, 36.0], shoonya_0s3H35EK23JCPF, 6477478]
[paragraph, [690.0, 222.0, 519.0, 36.0], shoonya_6s15U69Q5V14WL, 6477478]
[paragraph, [690.0, 258.0, 519.0, 36.0], shoonya_6s15U69Q5V14WL, 6477478]
[paragraph, [690.0, 294.0, 519.0, 36.0], shoonya_6s15U69Q5V14WL, 6477478]
[paragraph, [690.0, 330.0, 519.0, 36.0], shoonya_6s15U69Q5V14WL, 6477478]
[unordered-list, [127.0, 327.0, 494.0, 36.0], QuO7JYhKgc, 6477478]
[unordered-list, [127.0, 363.0, 494.0, 36.0], QuO7JYhKgc, 6477478]
[unordered-list, [127.0, 399.0, 494.0, 36.0], QuO7JYhKgc, 6477478]
[unordered-list, [127.0, 435.0, 494.0, 36.0], QuO7JYhKgc, 6477478]
[unordered-list, [127.0, 471.0, 494.0, 36.0], QuO7JYhKgc, 6477478]
[unordered-list, [687.0, 388.0, 525.0, 36.0], shoonya_8sTZS970XOIL82, 6477478]
[unordered-list, [687.0, 424.0, 525.0, 36.0], shoonya_8sTZS970XOIL82, 6477478]
[unordered-list, [687.0, 460.0, 525.0, 36.0], shoonya_8sTZS970XOIL82, 6477478]
[unordered-list, [687.0, 496.0, 525.0, 36.0], shoonya_8sTZS970XOIL82, 6477478]
[unordered-list, [687.0, 532.0, 525.0, 36.0], shoonya_8sTZS970XOIL82, 6477478]
[sub-section-title, [132.0, 547.0, 318.0, 36.0], NdbA2RVcYs, 6477478]
[paragraph, [130.0, 588.0, 506.0, 36.0], shoonya_4sPKQITI5CIBCI, 6477478]
[paragraph, [130.0, 624.0, 506.0, 36.0], shoonya_4sPKQITI5CIBCI, 6477478]
[paragraph, [130.0, 660.0, 506.0, 36.0], shoonya_4sPKQITI5CIBCI, 6477478]
[paragraph, [692.0, 601.0, 513.0, 36.0], shoonya_5sJMS3LQCGBSVE, 6477478]
[paragraph, [692.0, 637.0, 513.0, 36.0], shoonya_5sJMS3LQCGBSVE, 6477478]
[paragraph, [692.0, 673.0, 513.0, 36.0], shoonya_5sJMS3LQCGBSVE, 6477478]
[paragraph, [692.0, 709.0, 513.0, 36.0], shoonya_5sJMS3LQCGBSVE, 6477478]
[paragraph, [692.0, 745.0, 513.0, 36.0], shoonya_5sJMS3LQCGBSVE, 6477478]
[paragraph, [692.0, 781.0, 513.0, 36.0], shoonya_5sJMS3LQCGBSVE, 6477478]
[unordered-list, [126.0, 720.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 756.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 792.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 828.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 864.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 900.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 936.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 972.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 1008.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 1044.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 1080.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 1116.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 1152.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[unordered-list, [126.0, 1188.0, 500.0, 36.0], whhyQVysIJ, 6477478]
[section-title, [663.0, 840.0, 544.0, 49.5], shoonya_2s24FY5IPNGMVN, 6477478]
[paragraph, [690.0, 916.0, 510.0, 36.0], 2oUvLPLlmr, 6477478]
[paragraph, [690.0, 952.0, 510.0, 36.0], 2oUvLPLlmr, 6477478]
[paragraph, [690.0, 988.0, 510.0, 36.0], 2oUvLPLlmr, 6477478]
[paragraph, [690.0, 1024.0, 510.0, 36.0], 2oUvLPLlmr, 6477478]
[unordered-list, [695.0, 1076.0, 499.0, 36.0], PH6niTv7tU, 6477478]
[unordered-list, [695.0, 1112.0, 499.0, 36.0], PH6niTv7tU, 6477478]
[unordered-list, [695.0, 1148.0, 499.0, 36.0], PH6niTv7tU, 6477478]
[unordered-list, [695.0, 1184.0, 499.0, 36.0], PH6niTv7tU, 6477478]
[unordered-list, [695.0, 1220.0, 499.0, 36.0], PH6niTv7tU, 6477478]
[unordered-list, [695.0, 1256.0, 499.0, 36.0], PH6niTv7tU, 6477478]
[unordered-list, [695.0, 1292.0, 499.0, 36.0], PH6niTv7tU, 6477478]
