[612, 792]
[section-title, [319.0, 74.0, 168.0, 30.0], shoonya_2sVEQ04B8G3QER, 6532794]
[paragraph, [73.0, 116.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 134.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 152.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 170.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 188.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 206.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 224.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 242.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 260.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 278.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 296.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 314.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 332.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 350.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 368.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 386.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [73.0, 404.0, 630.0, 18.0], shoonya_0sY64Y77J17VYW, 6532794]
[paragraph, [68.0, 446.0, 631.0, 18.0], Ute2-A1k28, 6532794]
[paragraph, [68.0, 464.0, 631.0, 18.0], Ute2-A1k28, 6532794]
[paragraph, [68.0, 482.0, 631.0, 18.0], Ute2-A1k28, 6532794]
