[2000, 1414]
[index, [473.0, 477.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 513.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 549.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 585.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 621.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 657.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 693.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 729.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 765.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 801.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 837.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 873.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 909.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 945.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 981.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1017.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1053.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1089.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1125.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1161.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1197.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1233.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1269.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1305.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1341.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1377.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1413.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1449.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1485.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1521.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1557.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1593.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1629.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1665.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[index, [473.0, 1701.0, 910.0, 36.0], TPIm6f-8fJ, 6534423]
[headline, [95.0, 1291.0, 185.0, 67.5], dLljZV6qLz, 6534423]
[headline, [95.0, 1358.5, 185.0, 67.5], dLljZV6qLz, 6534423]
[headline, [95.0, 1426.0, 185.0, 67.5], dLljZV6qLz, 6534423]
[headline, [95.0, 1493.5, 185.0, 67.5], dLljZV6qLz, 6534423]
[headline, [95.0, 1561.0, 185.0, 67.5], dLljZV6qLz, 6534423]
[headline, [95.0, 1628.5, 185.0, 67.5], dLljZV6qLz, 6534423]
