[542, 329]
[folio, [146.0, 11.0, 49.0, 18.0], shoonya_2sADI6ZR8OZIRE, 5700754]
[paragraph, [7.0, 36.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 54.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 72.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 90.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 108.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 126.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 144.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 162.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 180.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 198.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 216.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [7.0, 234.0, 314.0, 18.0], shoonya_0sGKB4UZH2C2FA, 5700754]
[paragraph, [68.0, 298.0, 244.0, 18.0], bYnTiB0YNY, 5700754]
[paragraph, [68.0, 316.0, 244.0, 18.0], bYnTiB0YNY, 5700754]
[paragraph, [68.0, 334.0, 244.0, 18.0], bYnTiB0YNY, 5700754]
[sidebar, [11.0, 302.0, 54.0, 18.0], shoonya_1s47V1V5FYYA90, 5700754]
[paragraph, [11.0, 367.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 385.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 403.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 421.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 439.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 457.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 475.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 493.0, 298.0, 18.0], bBrPsqphfh, 5700754]
[paragraph, [11.0, 511.0, 298.0, 18.0], bBrPsqphfh, 5700754]
