[1483, 1081]
[flag, [250.0, 61.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 79.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 97.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 115.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 133.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 151.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 169.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 187.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 205.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 223.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 241.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 259.0, 579.0, 18.0], Qhile1roet, 5762491]
[flag, [250.0, 277.0, 579.0, 18.0], Qhile1roet, 5762491]
[folio, [674.0, 227.0, 174.0, 18.0], ipckOGiTCq, 5762491]
[folio, [674.0, 245.0, 174.0, 18.0], ipckOGiTCq, 5762491]
[folio, [674.0, 263.0, 174.0, 18.0], ipckOGiTCq, 5762491]
[folio, [674.0, 281.0, 174.0, 18.0], ipckOGiTCq, 5762491]
[folio, [674.0, 299.0, 174.0, 18.0], ipckOGiTCq, 5762491]
[folio, [674.0, 317.0, 174.0, 18.0], ipckOGiTCq, 5762491]
[folio, [674.0, 335.0, 174.0, 18.0], ipckOGiTCq, 5762491]
[folio, [21.0, 317.0, 339.0, 18.0], hvFKHbK_qB, 5762491]
[folio, [21.0, 335.0, 339.0, 18.0], hvFKHbK_qB, 5762491]
[folio, [1.0, 360.0, 1075.0, 18.0], PGYCIgoNLE, 5762491]
[folio, [1.0, 378.0, 1075.0, 18.0], PGYCIgoNLE, 5762491]
[paragraph, [14.0, 1047.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1065.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1083.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1101.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1119.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1137.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1155.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1173.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1191.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1209.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1227.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1245.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1263.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1281.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1299.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[paragraph, [14.0, 1317.0, 1018.0, 18.0], shoonya_0sIFV4IHF19YIQ, 5762491]
[website-link, [19.0, 1380.0, 513.0, 18.0], Md3GNUrlHn, 5762491]
[website-link, [19.0, 1398.0, 513.0, 18.0], Md3GNUrlHn, 5762491]
