[2067, 1567]
[folio, [197.0, 191.0, 152.0, 36.0], hRO-Pa9cH0, 5735406]
[folio, [1081.0, 191.0, 283.0, 36.0], vcry5ayDoy, 5735406]
[paragraph, [191.0, 249.0, 581.0, 36.0], shoonya_6sIVZSW59CWYQ6, 5735406]
[paragraph, [191.0, 285.0, 581.0, 36.0], shoonya_6sIVZSW59CWYQ6, 5735406]
[paragraph, [786.0, 291.0, 199.0, 36.0], jCKvKWriqg, 5735406]
[paragraph, [192.0, 342.0, 579.0, 36.0], shoonya_5sVCAY5LXTPGJE, 5735406]
[paragraph, [192.0, 378.0, 579.0, 36.0], shoonya_5sVCAY5LXTPGJE, 5735406]
[paragraph, [192.0, 414.0, 579.0, 36.0], shoonya_5sVCAY5LXTPGJE, 5735406]
[paragraph, [1053.0, 388.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 424.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 460.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 496.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 532.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 568.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 604.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 640.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [1053.0, 676.0, 318.0, 36.0], shoonya_11sHITC7Q3UBJE, 5735406]
[paragraph, [191.0, 474.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 510.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 546.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 582.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 618.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 654.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 690.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 726.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 762.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 798.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 834.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [191.0, 870.0, 580.0, 36.0], shoonya_10sB3T1ATMNQ58, 5735406]
[paragraph, [793.0, 740.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 776.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 812.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 848.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 884.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 920.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 956.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 992.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 1028.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 1064.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 1100.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [793.0, 1136.0, 577.0, 36.0], shoonya_1sYHKNU7ZV8A67, 5735406]
[paragraph, [190.0, 920.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 956.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 992.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 1028.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 1064.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 1100.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 1136.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 1172.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 1208.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [190.0, 1244.0, 583.0, 36.0], shoonya_9sIWRNQF58J4IQ, 5735406]
[paragraph, [792.0, 1184.0, 579.0, 36.0], shoonya_0sNHB8LUP0UWL9, 5735406]
[paragraph, [792.0, 1220.0, 579.0, 36.0], shoonya_0sNHB8LUP0UWL9, 5735406]
[paragraph, [792.0, 1256.0, 579.0, 36.0], shoonya_0sNHB8LUP0UWL9, 5735406]
[paragraph, [792.0, 1292.0, 579.0, 36.0], shoonya_0sNHB8LUP0UWL9, 5735406]
[paragraph, [792.0, 1328.0, 579.0, 36.0], shoonya_0sNHB8LUP0UWL9, 5735406]
