[1951, 1219]
[folio, [806.0, 126.0, 200.0, 36.0], LjuJ5RyZ_3, 5683025]
[paragraph, [118.0, 210.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 246.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 282.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 318.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 354.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 390.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 426.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 462.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 498.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 534.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [118.0, 570.0, 979.0, 36.0], shoonya_0sRJHRSIFXS5WH, 5683025]
[paragraph, [121.0, 636.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [121.0, 672.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [121.0, 708.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [121.0, 744.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [121.0, 780.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [121.0, 816.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [121.0, 852.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [121.0, 888.0, 973.0, 36.0], BUX0y0GaFZ, 5683025]
[paragraph, [115.0, 937.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 973.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1009.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1045.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1081.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1117.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1153.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1189.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1225.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1261.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [115.0, 1297.0, 978.0, 36.0], ux2bSgjAke, 5683025]
[paragraph, [112.0, 1360.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1396.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1432.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1468.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1504.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1540.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1576.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1612.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1648.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1684.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1720.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1756.0, 981.0, 36.0], RPMuPc9jif, 5683025]
[paragraph, [112.0, 1792.0, 981.0, 36.0], RPMuPc9jif, 5683025]
