[2339, 1653]
[folio, [199.0, 363.0, 140.0, 36.0], Bg8aw5D5tB, 5735968]
[folio, [1250.0, 363.0, 192.0, 36.0], u8c-1Lhf5l, 5735968]
[paragraph, [837.0, 423.0, 611.0, 36.0], shoonya_8s45SAQ9ACIOLM, 5735968]
[paragraph, [837.0, 459.0, 611.0, 36.0], shoonya_8s45SAQ9ACIOLM, 5735968]
[paragraph, [837.0, 495.0, 611.0, 36.0], shoonya_8s45SAQ9ACIOLM, 5735968]
[paragraph, [201.0, 426.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 462.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 498.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 534.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 570.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 606.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 642.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 678.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 714.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 750.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[paragraph, [201.0, 786.0, 617.0, 36.0], shoonya_2s2K5NTIF6J8JA, 5735968]
[sidebar, [1481.0, 478.0, 155.0, 36.0], l1y9zHoVsz, 5735968]
[sidebar, [1481.0, 514.0, 155.0, 36.0], l1y9zHoVsz, 5735968]
[paragraph, [835.0, 563.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 599.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 635.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 671.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 707.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 743.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 779.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 815.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 851.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 887.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 923.0, 618.0, 36.0], mborh7K1uz, 5735968]
[paragraph, [835.0, 959.0, 618.0, 36.0], mborh7K1uz, 5735968]
[author, [541.0, 843.0, 273.0, 36.0], shoonya_14s7N6GLPXFUMG, 5735968]
[section-title, [203.0, 928.0, 433.0, 52.5], shoonya_10s1XT5VNX8HOU, 5735968]
[paragraph, [833.0, 1032.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1068.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1104.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1140.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1176.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1212.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1248.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1284.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1320.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [833.0, 1356.0, 614.0, 36.0], 4IlJVc5Gbp, 5735968]
[paragraph, [475.0, 1080.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1116.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1152.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1188.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1224.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1260.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1296.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1332.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1368.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [475.0, 1404.0, 341.0, 36.0], shoonya_4sQ6Y8ZWBUDDQK, 5735968]
[paragraph, [833.0, 1407.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1443.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1479.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1515.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1551.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1587.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1623.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1659.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [833.0, 1695.0, 614.0, 36.0], VUqGsVu9f_, 5735968]
[paragraph, [201.0, 1454.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1490.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1526.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1562.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1598.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1634.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1670.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1706.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1742.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1778.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1814.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1850.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1886.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1922.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1958.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [201.0, 1994.0, 614.0, 36.0], shoonya_0sVHF78N9FPIJI, 5735968]
[paragraph, [837.0, 1734.0, 608.0, 36.0], vaf-Df1LB4, 5735968]
[paragraph, [837.0, 1770.0, 608.0, 36.0], vaf-Df1LB4, 5735968]
[paragraph, [837.0, 1806.0, 608.0, 36.0], vaf-Df1LB4, 5735968]
[paragraph, [837.0, 1842.0, 608.0, 36.0], vaf-Df1LB4, 5735968]
[paragraph, [837.0, 1878.0, 608.0, 36.0], vaf-Df1LB4, 5735968]
[paragraph, [837.0, 1914.0, 608.0, 36.0], vaf-Df1LB4, 5735968]
[author, [1156.0, 1966.0, 293.0, 36.0], spjgB9dUIa, 5735968]
[folio, [204.0, 2081.0, 241.0, 36.0], shoonya_9sADIOEQ4IH0O9, 5735968]
