[2200, 1700]
[paragraph, [379.0, 100.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 136.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 172.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 208.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 244.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 280.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 316.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 352.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 388.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 424.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 460.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 496.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 532.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 568.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 604.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 640.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 676.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 712.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 748.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 784.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 820.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 856.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 892.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 928.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 964.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [379.0, 1000.0, 1082.0, 36.0], shoonya_1sXT4JG1QQH6RW, 5730816]
[paragraph, [381.0, 1066.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1102.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1138.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1174.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1210.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1246.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1282.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1318.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1354.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1390.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1426.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1462.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1498.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1534.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1570.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1606.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1642.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1678.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1714.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1750.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1786.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1822.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1858.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1894.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[paragraph, [381.0, 1930.0, 1079.0, 36.0], shoonya_0sKGGCWKN1RGYM, 5730816]
[folio, [384.0, 2055.0, 358.0, 36.0], J6QXTcZiPP, 5730816]
