[1275, 750]
[folio, [232.0, 87.0, 282.0, 18.0], shoonya_2sZYT7YQ1WDZVK, 5767040]
[folio, [232.0, 105.0, 282.0, 18.0], shoonya_2sZYT7YQ1WDZVK, 5767040]
[paragraph, [71.0, 148.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 166.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 184.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 202.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 220.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 238.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 256.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 274.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 292.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 310.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[paragraph, [71.0, 328.0, 614.0, 18.0], DClCQqdgEL, 5767040]
[section-title, [307.0, 369.0, 126.0, 30.0], 8wQOgqPlTM, 5767040]
[paragraph, [73.0, 436.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 454.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 472.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 490.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 508.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 526.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 544.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 562.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 580.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 598.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 616.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 634.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 652.0, 609.0, 18.0], RfQY5zagoc, 5767040]
[paragraph, [73.0, 677.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 695.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 713.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 731.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 749.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 767.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 785.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 803.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 821.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 839.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 857.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 875.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 893.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 911.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 929.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 947.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 965.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[paragraph, [73.0, 983.0, 603.0, 18.0], shoonya_0sR1NLB8WL0ZIW, 5767040]
[section-title, [237.0, 1021.0, 275.0, 30.0], shoonya_3s2FFSJIQ6ZK9Y, 5767040]
[paragraph, [85.0, 1092.0, 588.0, 18.0], shoonya_4s31MFM5V7784G, 5767040]
[paragraph, [85.0, 1110.0, 588.0, 18.0], shoonya_4s31MFM5V7784G, 5767040]
[paragraph, [85.0, 1128.0, 588.0, 18.0], shoonya_4s31MFM5V7784G, 5767040]
[paragraph, [85.0, 1146.0, 588.0, 18.0], shoonya_4s31MFM5V7784G, 5767040]
[paragraph, [85.0, 1164.0, 588.0, 18.0], shoonya_4s31MFM5V7784G, 5767040]
