[1752, 1240]
[placeholder-text, [797.0, 147.0, 339.0, 18.0], zIT20Ps6s6, 5708174]
[placeholder-text, [797.0, 165.0, 339.0, 18.0], zIT20Ps6s6, 5708174]
[placeholder-text, [797.0, 183.0, 339.0, 18.0], zIT20Ps6s6, 5708174]
[folio, [537.0, 178.0, 193.0, 36.0], 4GAnq5K5AL, 5708174]
[folio, [537.0, 214.0, 193.0, 36.0], 4GAnq5K5AL, 5708174]
[folio, [537.0, 250.0, 193.0, 36.0], 4GAnq5K5AL, 5708174]
[section-title, [433.0, 297.0, 390.0, 49.5], S8ZnnnVz6J, 5708174]
[sidebar, [914.0, 346.0, 219.0, 36.0], bHcjG7R8Jo, 5708174]
[paragraph, [117.0, 415.0, 811.0, 36.0], ea1bhpSHF2, 5708174]
[second-level-question, [171.0, 489.0, 540.0, 36.0], aKT2ASFLX8, 5708174]
[second-level-question, [171.0, 525.0, 540.0, 36.0], aKT2ASFLX8, 5708174]
[second-level-question, [171.0, 561.0, 540.0, 36.0], aKT2ASFLX8, 5708174]
[second-level-question, [171.0, 597.0, 540.0, 36.0], aKT2ASFLX8, 5708174]
[second-level-question, [170.0, 641.0, 433.0, 36.0], qo_DLnD-3o, 5708174]
[second-level-question, [170.0, 677.0, 433.0, 36.0], qo_DLnD-3o, 5708174]
[second-level-question, [170.0, 713.0, 433.0, 36.0], qo_DLnD-3o, 5708174]
[second-level-question, [170.0, 749.0, 433.0, 36.0], qo_DLnD-3o, 5708174]
[second-level-question, [170.0, 785.0, 433.0, 36.0], qo_DLnD-3o, 5708174]
[third-level-question, [224.0, 700.0, 323.0, 18.0], DXOBW0IMZN, 5708174]
[third-level-question, [224.0, 718.0, 323.0, 18.0], DXOBW0IMZN, 5708174]
[third-level-question, [219.0, 751.0, 246.0, 18.0], ZJ2DaSli6o, 5708174]
[third-level-question, [219.0, 769.0, 246.0, 18.0], ZJ2DaSli6o, 5708174]
[third-level-question, [215.0, 799.0, 250.0, 18.0], EBpfd7pH2t, 5708174]
[third-level-question, [215.0, 817.0, 250.0, 18.0], EBpfd7pH2t, 5708174]
[second-level-question, [159.0, 848.0, 408.0, 36.0], KGAeQjnTNM, 5708174]
[second-level-question, [159.0, 884.0, 408.0, 36.0], KGAeQjnTNM, 5708174]
[second-level-question, [159.0, 920.0, 408.0, 36.0], KGAeQjnTNM, 5708174]
[second-level-question, [159.0, 956.0, 408.0, 36.0], KGAeQjnTNM, 5708174]
[second-level-question, [159.0, 992.0, 408.0, 36.0], KGAeQjnTNM, 5708174]
[third-level-question, [213.0, 895.0, 334.0, 18.0], rttdhG6Yzo, 5708174]
[third-level-question, [213.0, 913.0, 334.0, 18.0], rttdhG6Yzo, 5708174]
[third-level-question, [219.0, 948.0, 229.0, 18.0], 1QNLyD4n9c, 5708174]
[third-level-question, [219.0, 966.0, 229.0, 18.0], 1QNLyD4n9c, 5708174]
[third-level-question, [216.0, 997.0, 252.0, 18.0], TkQv9sgSYh, 5708174]
[third-level-question, [216.0, 1015.0, 252.0, 18.0], TkQv9sgSYh, 5708174]
[second-level-question, [150.0, 1092.0, 784.0, 36.0], r4_iHTVtmI, 5708174]
[second-level-question, [150.0, 1128.0, 784.0, 36.0], r4_iHTVtmI, 5708174]
[second-level-question, [150.0, 1164.0, 784.0, 36.0], r4_iHTVtmI, 5708174]
[second-level-question, [150.0, 1200.0, 784.0, 36.0], r4_iHTVtmI, 5708174]
[second-level-question, [148.0, 1242.0, 424.0, 36.0], 9qt9UqY2Z_, 5708174]
[second-level-question, [148.0, 1278.0, 424.0, 36.0], 9qt9UqY2Z_, 5708174]
[second-level-question, [148.0, 1314.0, 424.0, 36.0], 9qt9UqY2Z_, 5708174]
[second-level-question, [148.0, 1350.0, 424.0, 36.0], 9qt9UqY2Z_, 5708174]
[second-level-question, [148.0, 1386.0, 424.0, 36.0], 9qt9UqY2Z_, 5708174]
[third-level-question, [213.0, 1296.0, 328.0, 18.0], rPRrEWxApE, 5708174]
[third-level-question, [213.0, 1314.0, 328.0, 18.0], rPRrEWxApE, 5708174]
[third-level-question, [207.0, 1343.0, 354.0, 18.0], FBZrtkT2U0, 5708174]
[third-level-question, [207.0, 1361.0, 354.0, 18.0], FBZrtkT2U0, 5708174]
[third-level-question, [201.0, 1395.0, 325.0, 18.0], 7Fk37nOGfb, 5708174]
[third-level-question, [201.0, 1413.0, 325.0, 18.0], 7Fk37nOGfb, 5708174]
[folio, [94.0, 1473.0, 106.0, 36.0], bOxHjx2VVI, 5708174]
[footnote, [1006.0, 1490.0, 89.0, 36.0], 1ZI1fQBv2V, 5708174]
