[2339, 1656]
[paragraph, [193.0, 196.0, 1268.0, 36.0], shoonya_2sBTFXOYD0JXD3, 5730952]
[paragraph, [193.0, 232.0, 1268.0, 36.0], shoonya_2sBTFXOYD0JXD3, 5730952]
[paragraph, [193.0, 268.0, 1268.0, 36.0], shoonya_2sBTFXOYD0JXD3, 5730952]
[paragraph, [172.0, 385.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 421.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 457.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 493.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 529.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 565.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 601.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 637.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 673.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 709.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 745.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 781.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 817.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 853.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 889.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 925.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 961.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 997.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1033.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1069.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1105.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1141.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1177.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1213.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1249.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1285.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1321.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1357.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1393.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1429.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1465.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1501.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1537.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1573.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1609.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [172.0, 1645.0, 1309.0, 36.0], shoonya_1sJNTI8EPHV6N6, 5730952]
[paragraph, [186.0, 1710.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1746.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1782.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1818.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1854.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1890.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1926.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1962.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 1998.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 2034.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 2070.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
[paragraph, [186.0, 2106.0, 1291.0, 36.0], shoonya_0s2GIRNNAU55D9, 5730952]
